run_id,model,case,depth,period,segments,mean_cycles,max_cycles,total_cycles
14,stage2,mixed,1,1,9999,46.60806080608061,59,466034
15,stage2,mixed,2,1,9999,46.60816081608161,59,466035
16,stage2,mixed,4,1,9999,46.60816081608161,59,466035
17,stage2,mixed,8,1,9999,46.60816081608161,59,466035
18,stage2,mixed,16,1,9999,46.60816081608161,59,466035
19,stage2,mixed,32,1,9999,46.60816081608161,59,466035
20,stage2,short,2,1,9999,6,6,59994
21,stage2,short,2,2,9999,6,6,59994
22,stage2,short,2,4,9999,6,6,59994
23,stage2,short,2,8,9999,6.998999899989999,7,69983
24,stage2,short,2,16,9999,14.996599659965996,15,149951
25,stage2,slow_sink_small,2,8,23,6.565217391304348,7,151
