case,model,trace,phase,wall_ms,cpu_ms,peak_rss_bytes,trace_bytes,activations,max_jump_cycles
zero_delay,stage3_window,0,warmup,52.43,34.629,24436736,0,,
zero_delay,stage3_window,0,rep0,53.962,34.797,24436736,0,,
zero_delay,stage3_window,0,rep1,50.016,34.217,24436736,0,,
zero_delay,stage3_window,0,rep2,51.696,34.988,24436736,0,,
zero_delay,stage3_window,0,rep3,62.41,43.65,24436736,0,,
zero_delay,stage3_window,0,rep4,51.202,34.861,24436736,0,,
zero_delay,stage3_window,0,rep5,50.831,33.855,24436736,0,,
zero_delay,stage3_window,0,rep6,52.569,34.899,24436736,0,,
zero_delay,stage4,0,warmup,54.324,36.807,24436736,0,30006,1
zero_delay,stage4,0,rep0,54.56,36.185,24436736,0,30006,1
zero_delay,stage4,0,rep1,54.532,36.768,24436736,0,30006,1
zero_delay,stage4,0,rep2,61.377,40.145,24436736,0,30006,1
zero_delay,stage4,0,rep3,53.941,36.011,24436736,0,30006,1
zero_delay,stage4,0,rep4,52.397,36.015,24436736,0,30006,1
zero_delay,stage4,0,rep5,58.254,38.04,24436736,0,30006,1
zero_delay,stage4,0,rep6,58.5,38.515,24436736,0,30006,1
long,stage3_window,0,warmup,165.115,130.986,24436736,0,,
long,stage3_window,0,rep0,152.286,134.018,24436736,0,,
long,stage3_window,0,rep1,151.793,133.081,24436736,0,,
long,stage3_window,0,rep2,149.562,132.061,24436736,0,,
long,stage3_window,0,rep3,151.027,131.634,24436736,0,,
long,stage3_window,0,rep4,153.383,135.245,24436736,0,,
long,stage3_window,0,rep5,157.01,137.492,24436736,0,,
long,stage3_window,0,rep6,151.565,134.076,24436736,0,,
long,stage4,0,warmup,60.978,27.646,24436736,0,25006,72
long,stage4,0,rep0,46.055,28.616,24436736,0,25006,72
long,stage4,0,rep1,45.962,27.752,24436736,0,25006,72
long,stage4,0,rep2,47.399,29.201,24436736,0,25006,72
long,stage4,0,rep3,44.206,27.637,24436736,0,25006,72
long,stage4,0,rep4,46.816,28.686,24436736,0,25006,72
long,stage4,0,rep5,46.049,28.421,24436736,0,25006,72
long,stage4,0,rep6,48.871,30.627,24436736,0,25006,72
mixed,stage3_window,0,warmup,119.337,100.087,24436736,0,,
mixed,stage3_window,0,rep0,119.091,99.475,24436736,0,,
mixed,stage3_window,0,rep1,111.774,93.863,24436736,0,,
mixed,stage3_window,0,rep2,115.94,98.395,24436736,0,,
mixed,stage3_window,0,rep3,115.568,97.452,24436736,0,,
mixed,stage3_window,0,rep4,111.948,93.029,24436736,0,,
mixed,stage3_window,0,rep5,113.347,94.213,24436736,0,,
mixed,stage3_window,0,rep6,117.342,95.244,24436736,0,,
mixed,stage4,0,warmup,53.924,33.376,24436736,0,38700,53
mixed,stage4,0,rep0,49.331,33.092,24436736,0,38700,53
mixed,stage4,0,rep1,49.987,33.792,24436736,0,38700,53
mixed,stage4,0,rep2,50.721,33.306,24436736,0,38700,53
mixed,stage4,0,rep3,53.152,33.752,24436736,0,38700,53
mixed,stage4,0,rep4,49.843,32.192,24436736,0,38700,53
mixed,stage4,0,rep5,51.982,34.298,24436736,0,38700,53
mixed,stage4,0,rep6,49.858,32.396,24436736,0,38700,53
slow_sink,stage3_window,0,warmup,643.238,625.549,24436736,0,,
slow_sink,stage3_window,0,rep0,622.246,607.302,24436736,0,,
slow_sink,stage3_window,0,rep1,630.753,615.998,24436736,0,,
slow_sink,stage3_window,0,rep2,677.565,663.936,24436736,0,,
slow_sink,stage3_window,0,rep3,648.945,633.175,24436736,0,,
slow_sink,stage3_window,0,rep4,649.139,633.515,24436736,0,,
slow_sink,stage3_window,0,rep5,634.901,619.419,24436736,0,,
slow_sink,stage3_window,0,rep6,731.908,716.074,24436736,0,,
slow_sink,stage4,0,warmup,29.61,10.672,24436736,0,11980,1000
slow_sink,stage4,0,rep0,31.269,11.34,24436736,0,11980,1000
slow_sink,stage4,0,rep1,27.865,12.136,24436736,0,11980,1000
slow_sink,stage4,0,rep2,27.07,10.681,24436736,0,11980,1000
slow_sink,stage4,0,rep3,29.348,11.262,24436736,0,11980,1000
slow_sink,stage4,0,rep4,26.841,10.693,24436736,0,11980,1000
slow_sink,stage4,0,rep5,30.71,13.04,24436736,0,11980,1000
slow_sink,stage4,0,rep6,30.094,12.033,24436736,0,11980,1000
skew,stage3_window,0,warmup,49.743,31.683,24436736,0,,
skew,stage3_window,0,rep0,46.036,28.061,24436736,0,,
skew,stage3_window,0,rep1,48.284,30.241,24436736,0,,
skew,stage3_window,0,rep2,49.154,31.858,24436736,0,,
skew,stage3_window,0,rep3,44.091,28.028,24436736,0,,
skew,stage3_window,0,rep4,44.369,27.744,24436736,0,,
skew,stage3_window,0,rep5,47.826,29.475,24436736,0,,
skew,stage3_window,0,rep6,49.034,32.755,24436736,0,,
skew,stage4,0,warmup,36.678,19.326,24436736,0,12511,66
skew,stage4,0,rep0,37.854,19.152,24436736,0,12511,66
skew,stage4,0,rep1,38.362,18.709,24436736,0,12511,66
skew,stage4,0,rep2,35.101,18.257,24436736,0,12511,66
skew,stage4,0,rep3,39.122,19.193,24436736,0,12511,66
skew,stage4,0,rep4,42.123,19.414,24436736,0,12511,66
skew,stage4,0,rep5,36.931,19.182,24436736,0,12511,66
skew,stage4,0,rep6,40.949,20.05,24436736,0,12511,66
sparse_wait,stage3_window,0,warmup,623.637,605.517,24436736,0,,
sparse_wait,stage3_window,0,rep0,570.924,553.036,24436736,0,,
sparse_wait,stage3_window,0,rep1,593.78,577.579,24436736,0,,
sparse_wait,stage3_window,0,rep2,577.087,561.514,24436736,0,,
sparse_wait,stage3_window,0,rep3,571.393,555.801,24436736,0,,
sparse_wait,stage3_window,0,rep4,535.409,520.821,24436736,0,,
sparse_wait,stage3_window,0,rep5,577.09,562.973,24436736,0,,
sparse_wait,stage3_window,0,rep6,560.123,546.555,24436736,0,,
sparse_wait,stage4,0,warmup,21.393,4.156,24436736,0,8,1999988
sparse_wait,stage4,0,rep0,18.891,3.656,24436736,0,8,1999988
sparse_wait,stage4,0,rep1,20.132,3.766,24436736,0,8,1999988
sparse_wait,stage4,0,rep2,20.824,3.957,24436736,0,8,1999988
sparse_wait,stage4,0,rep3,19.077,3.759,24436736,0,8,1999988
sparse_wait,stage4,0,rep4,18.348,3.657,24436736,0,8,1999988
sparse_wait,stage4,0,rep5,17.412,3.273,24436736,0,8,1999988
sparse_wait,stage4,0,rep6,18.065,3.487,24436736,0,8,1999988
dense_small,stage3_window,0,warmup,19.001,5.348,24436736,0,,
dense_small,stage3_window,0,rep0,19.142,5.413,24436736,0,,
dense_small,stage3_window,0,rep1,21.824,6.042,24436736,0,,
dense_small,stage3_window,0,rep2,19.95,5.644,24436736,0,,
dense_small,stage3_window,0,rep3,19.869,5.55,24436736,0,,
dense_small,stage3_window,0,rep4,19.005,5.45,24436736,0,,
dense_small,stage3_window,0,rep5,20.601,5.743,24436736,0,,
dense_small,stage3_window,0,rep6,19.758,6.114,24436736,0,,
dense_small,stage4,0,warmup,20.878,5.709,24436736,0,2006,1
dense_small,stage4,0,rep0,21.967,6.082,24436736,0,2006,1
dense_small,stage4,0,rep1,20.468,5.719,24436736,0,2006,1
dense_small,stage4,0,rep2,20.972,5.836,24436736,0,2006,1
dense_small,stage4,0,rep3,20.23,5.687,24436736,0,2006,1
dense_small,stage4,0,rep4,20.741,5.922,24436736,0,2006,1
dense_small,stage4,0,rep5,22.656,6.019,24436736,0,2006,1
dense_small,stage4,0,rep6,20.294,5.627,24436736,0,2006,1
dense_small,stage3_window,1,warmup,55.199,15.198,24436736,730998,,
dense_small,stage3_window,1,rep0,57.835,15.927,24436736,730998,,
dense_small,stage3_window,1,rep1,56.428,15.693,24436736,730998,,
dense_small,stage3_window,1,rep2,55.215,15.349,24436736,730998,,
dense_small,stage3_window,1,rep3,53.308,15.079,24436736,730998,,
dense_small,stage3_window,1,rep4,53.948,14.992,24436736,730998,,
dense_small,stage3_window,1,rep5,59.478,16.321,24436736,730998,,
dense_small,stage3_window,1,rep6,119.027,21.702,24436736,730998,,
dense_small,stage4,1,warmup,70.525,23.152,24436736,730998,2006,1
dense_small,stage4,1,rep0,57.243,18.456,24436736,730998,2006,1
dense_small,stage4,1,rep1,62.842,20.132,24436736,730998,2006,1
dense_small,stage4,1,rep2,60.372,19.557,24436736,730998,2006,1
dense_small,stage4,1,rep3,60.15,19.076,24436736,730998,2006,1
dense_small,stage4,1,rep4,70.94,24.908,24436736,730998,2006,1
dense_small,stage4,1,rep5,60.849,20.498,24436736,730998,2006,1
dense_small,stage4,1,rep6,61.099,20.414,24436736,730998,2006,1
mixed_small,stage3_window,0,warmup,27.111,12.099,24436736,0,,
mixed_small,stage3_window,0,rep0,27.843,12.908,24436736,0,,
mixed_small,stage3_window,0,rep1,28.309,12.376,24436736,0,,
mixed_small,stage3_window,0,rep2,29.345,13.74,24436736,0,,
mixed_small,stage3_window,0,rep3,27.191,13.086,24436736,0,,
mixed_small,stage3_window,0,rep4,26.351,12.125,24436736,0,,
mixed_small,stage3_window,0,rep5,27.481,12.782,24436736,0,,
mixed_small,stage3_window,0,rep6,27.299,12.438,24436736,0,,
mixed_small,stage4,0,warmup,20.818,6.268,24436736,0,3882,48
mixed_small,stage4,0,rep0,20.52,6.038,24436736,0,3882,48
mixed_small,stage4,0,rep1,22.168,6.684,24436736,0,3882,48
mixed_small,stage4,0,rep2,21.4,6.254,24436736,0,3882,48
mixed_small,stage4,0,rep3,25.105,8.104,24436736,0,3882,48
mixed_small,stage4,0,rep4,21.355,6.749,24436736,0,3882,48
mixed_small,stage4,0,rep5,22.125,6.462,24436736,0,3882,48
mixed_small,stage4,0,rep6,21.332,6.3,24436736,0,3882,48
mixed_small,stage3_window,1,warmup,132.354,41.023,24436736,2047449,,
mixed_small,stage3_window,1,rep0,123.72,39.173,25702400,2047449,,
mixed_small,stage3_window,1,rep1,116.399,36.578,25702400,2047449,,
mixed_small,stage3_window,1,rep2,114.728,36.054,25702400,2047449,,
mixed_small,stage3_window,1,rep3,111.306,34.888,25702400,2047449,,
mixed_small,stage3_window,1,rep4,109.284,34.3,25702400,2047449,,
mixed_small,stage3_window,1,rep5,114.412,35.106,25702400,2047449,,
mixed_small,stage3_window,1,rep6,132.583,41.198,25702400,2047449,,
mixed_small,stage4,1,warmup,126.464,41.198,25702400,2047449,3882,48
mixed_small,stage4,1,rep0,130.031,42.179,25702400,2047449,3882,48
mixed_small,stage4,1,rep1,114.298,37.528,25702400,2047449,3882,48
mixed_small,stage4,1,rep2,118.121,38.899,25702400,2047449,3882,48
mixed_small,stage4,1,rep3,124.3,41.176,25702400,2047449,3882,48
mixed_small,stage4,1,rep4,133.606,42.046,25702400,2047449,3882,48
mixed_small,stage4,1,rep5,129.28,48.044,25702400,2047449,3882,48
mixed_small,stage4,1,rep6,119.881,40.887,25702400,2047449,3882,48
