run_id,assignment,model,case,tasks,depth,result_depth,window,seed,period,trace,wall_ms,input_sha256,output_sha256,stats_sha256,cycles,simulated_time_ns,throughput_tasks_per_cycle,compute_busy_cycles,compute_utilization,compute_result_wait_cycles,output_period,parser_to_transform_capacity,parser_to_transform_average,parser_to_transform_peak,transform_to_compute_capacity,transform_to_compute_average,transform_to_compute_peak,compute_to_output_capacity,compute_to_output_average,compute_to_output_peak,transform_registers_capacity,transform_registers_average,transform_registers_peak,task_latency_count,task_latency_precompute_sum_cycles,task_latency_precompute_mean_cycles,task_latency_precompute_max_cycles,task_latency_precompute_p95_cycles,task_latency_compute_sum_cycles,task_latency_compute_mean_cycles,task_latency_compute_max_cycles,task_latency_compute_p95_cycles,task_latency_result_wait_sum_cycles,task_latency_result_wait_mean_cycles,task_latency_result_wait_max_cycles,task_latency_result_wait_p95_cycles,task_latency_delivery_sum_cycles,task_latency_delivery_mean_cycles,task_latency_delivery_max_cycles,task_latency_delivery_p95_cycles,task_latency_end_to_end_sum_cycles,task_latency_end_to_end_mean_cycles,task_latency_end_to_end_max_cycles,task_latency_end_to_end_p95_cycles,compute0_idle_no_input_cycles,handshake_valid_cycles,handshake_blocked_cycles,handshake_blocked_fraction,compute_units,compute_task_slots,transform_slots,fifo_slots,buffer_payload_bits,compute0_results_capacity,compute0_results_average,compute0_results_peak,compute1_results_capacity,compute1_results_average,compute1_results_peak,collector_to_output_capacity,collector_to_output_average,collector_to_output_peak,dispatch_idle_other_blocked_cycles,reorder_wait_cycles,collector_output_blocked_cycles,compute0_busy_cycles,compute0_utilization,compute0_tasks,compute0_result_wait_cycles,compute1_busy_cycles,compute1_utilization,compute1_tasks,compute1_result_wait_cycles,compute1_idle_no_input_cycles,window_blocked_cycles,engines_blocked_cycles,random_choices,random_seed,window_capacity,window_results_peak,window_results_average,window_reserved_peak,window_reserved_average,window_valid_bits,window_blocked_with_ready_cycles
1,1,stage1,empty,0,2,,,,1,0,26.349,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7545b8d317625246d7f75672a6c9d7e4a4ef0f189689fe41faeed0ec10409456,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,stage1,single,1,2,,,,1,0,27.958,097eb15f7a6054f4d02f942402616fc2b7159ca169feb618171f178fe7a83747,06e9d52c1720fca412803e3b07c4b228ff113e303f4c7ab94665319d832bbfb7,200c047399c429c893463110dbd740579fadc6f3f303b0b7b3a99718309f805d,12.0,12.0,0.0833333333333,6.0,0.5,0.0,1.0,2.0,0.0833333333333,1.0,2.0,0.0833333333333,1.0,2.0,0.0833333333333,1.0,2.0,0.166666666667,1.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,stage1,zero_delay,30000,2,,,,1,0,61.435,5812710e37b5b47b15626e10a35fef1775716e974d9fe0b18b9fc2c1143cfdbf,64be96caa82af4e31b3e59314db9f31964175c8a81d68181ac7e9da4cf47cc51,ca4a672396c9df619ad2152bd542446b891a913ae8a9f7762ea07eb6f06d9645,30005.0,30005.0,0.999833361106,0.0,0.0,0.0,1.0,2.0,0.999833361106,1.0,2.0,0.999833361106,1.0,2.0,0.999833361106,1.0,2.0,1.99966672221,2.0,30000.0,120000.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,1.0,1.0,1.0,150000.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,stage1,short,10000,2,,,,1,0,70.704,f5a95772f89fa27eee2a2821de0dc0d3f34a290c60fe6dbaf1792828455023db,b8295aeff307589fd570c3fd018b9e74ea22ec45e3e0c4d6b1a024e3de34d88c,b405cfb2ca3c3dc534d9b1e747707dcebf7b775a5f19650a00413db74f9bb771,70005.0,70005.0,0.142846939504,60000.0,0.857081637026,0.0,1.0,2.0,1.85606742376,2.0,2.0,1.85675308907,2.0,2.0,0.142846939504,1.0,2.0,1.99925719591,2.0,10000.0,399874.0,39.9874,40.0,40.0,60000.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,10000.0,1.0,1.0,1.0,469874.0,46.9874,47.0,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,stage1,long,10000,2,,,,1,0,229.741,ab08f8c25b634c2eef790e18cc09795f8aec50848eb83bb5a243af414f755979,ecb6e11e3f612e74d0c97b29986a880dfe2d9556c721b039acf46f59726824f6,4fb70db5edea651ced492a815ec29cf22da5f3efb27f94432830f9f0c321c7e4,750005.0,750005.0,0.013333244445,740000.0,0.986660088933,0.0,1.0,2.0,1.98556809621,2.0,2.0,1.98635742428,2.0,2.0,0.013333244445,1.0,2.0,1.99929600469,2.0,10000.0,4478446.0,447.8446,448.0,448.0,740000.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,10000.0,1.0,1.0,1.0,5228446.0,522.8446,523.0,523.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,stage1,mixed,10000,2,,,,1,0,154.87,885ef2e95b09b93dcce2e7561a299227a1fa8ba5c64589e1cdb4f4d2607925c0,a53902bc6eaef4a1ea197f9bd6dd931b3c96e6115c6f1721cff13ad70e0402e2,6330a5abf781eaba1a0486200899845123cc6a4be690a3ac622b2da9c4241476,476084.0,476084.0,0.0210046966502,466079.0,0.978984801002,0.0,1.0,2.0,1.97794716899,2.0,2.0,1.97870963948,2.0,2.0,0.0210046966502,1.0,2.0,1.99931944783,2.0,10000.0,2835545.0,283.5545,317.0,299.0,466079.0,46.6079,59.0,53.0,0.0,0.0,0.0,0.0,10000.0,1.0,1.0,1.0,3311624.0,331.1624,368.0,348.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,stage2,empty,0,2,,,,1,0,25.078,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,13860498743dee7cc04d8440492c8aea072c3247327415a69e5cb53b173394c6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,stage2,single,1,2,,,,1,0,24.574,097eb15f7a6054f4d02f942402616fc2b7159ca169feb618171f178fe7a83747,06e9d52c1720fca412803e3b07c4b228ff113e303f4c7ab94665319d832bbfb7,97148e191b6d1137800a059a6bf1cd15309b1bb64a8346de559f41a936c1e28f,11.0,11.0,0.0909090909091,6.0,0.545454545455,0.0,1.0,2.0,0.0909090909091,1.0,,,,2.0,0.0909090909091,1.0,2.0,0.181818181818,1.0,1.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,stage2,zero_delay,30000,2,,,,1,0,53.647,5812710e37b5b47b15626e10a35fef1775716e974d9fe0b18b9fc2c1143cfdbf,64be96caa82af4e31b3e59314db9f31964175c8a81d68181ac7e9da4cf47cc51,f485a6e83db338f3bd7d1da507074e95e7c5c3ba07250ce8ecbdd1f48d3c99f8,30004.0,30004.0,0.999866684442,0.0,0.0,0.0,1.0,2.0,0.999866684442,1.0,,,,2.0,0.999866684442,1.0,2.0,1.99973336888,2.0,30000.0,90000.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,1.0,1.0,1.0,120000.0,4.0,4.0,4.0,4.0,30000.0,0.0,0.0,1.0,1.0,2.0,4.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,stage2,short,10000,2,,,,1,0,75.156,f5a95772f89fa27eee2a2821de0dc0d3f34a290c60fe6dbaf1792828455023db,b8295aeff307589fd570c3fd018b9e74ea22ec45e3e0c4d6b1a024e3de34d88c,2f6659c76e2ae6276f26367137317d0b69e2ce9abc4a4cc366c74f42d0dc9e11,70004.0,70004.0,0.142848980058,60000.0,0.85709388035,0.0,1.0,2.0,1.85643677504,2.0,,,,2.0,0.142848980058,1.0,2.0,1.99962859265,2.0,10000.0,269940.0,26.994,27.0,27.0,60000.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,10000.0,1.0,1.0,1.0,339940.0,33.994,34.0,34.0,4.0,69994.0,59994.0,0.857130611195,1.0,1.0,2.0,4.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
