id,unit,compute_accept,compute_complete,window_store,reorder_emit,window_residence
0,1,4,78,79,80,1
1,0,5,5,6,81,75
2,0,6,6,7,82,75
3,0,7,7,8,83,75
4,0,8,8,9,84,75
5,0,9,9,10,85,75
6,0,10,10,11,86,75
7,0,11,11,12,87,75
8,1,81,81,82,88,6
9,1,82,82,83,89,6
10,1,83,83,84,90,6
11,1,84,84,85,91,6
12,1,85,85,86,92,6
13,0,86,86,87,93,6
14,0,87,87,88,94,6
15,1,88,88,89,95,6
16,1,89,89,90,96,6
17,0,90,90,91,97,6
18,1,91,91,92,98,6
19,0,92,92,93,99,6
20,0,93,93,94,100,6
21,0,94,168,169,170,1
22,1,95,95,96,171,75
23,1,96,96,97,172,75
24,1,97,97,98,173,75
25,1,98,98,99,174,75
26,1,99,99,100,175,75
27,1,100,100,101,176,75
28,1,101,101,102,177,75
29,1,171,171,172,178,6
30,1,172,172,173,179,6
31,1,173,173,174,180,6
32,0,174,174,175,181,6
33,0,175,175,176,182,6
34,1,176,176,177,183,6
35,0,177,177,178,184,6
36,0,178,178,179,185,6
37,1,179,179,180,186,6
38,0,180,180,181,187,6
39,0,181,181,182,188,6
40,1,182,182,183,189,6
41,0,183,183,184,190,6
