id,parser_send,transform_accept,transform_emit,compute_accept,compute_complete,compute_emit,output,result_wait
0,1,2,4,4,10,10,16,0
1,2,3,11,11,17,17,24,0
2,3,4,18,18,24,24,32,0
3,4,11,25,25,31,31,40,0
4,5,18,32,32,38,38,48,0
5,12,25,39,39,45,45,56,0
6,19,32,46,46,52,52,64,0
7,26,39,53,53,59,59,72,0
8,33,46,60,60,66,66,80,0
9,40,53,67,67,73,73,88,0
10,47,60,74,74,80,81,96,1
11,54,67,82,82,88,89,104,1
12,61,74,90,90,96,97,112,1
13,68,82,98,98,104,105,120,1
14,75,90,106,106,112,113,128,1
15,83,98,114,114,120,121,136,1
16,91,106,122,122,128,129,144,1
17,99,114,130,130,136,137,152,1
18,107,122,138,138,144,145,160,1
19,115,130,146,146,152,153,168,1
20,123,138,154,154,160,161,176,1
21,131,146,162,162,168,169,184,1
22,139,154,170,170,176,177,192,1
23,147,162,178,178,184,185,200,1
