case,model,samples,model_ms,model_ms_q1,model_ms_q3,model_ms_min,model_ms_max,process_ms,process_ms_q1,process_ms_q3,process_ms_min,process_ms_max,cpu_ms,cpu_ms_q1,cpu_ms_q3,cpu_ms_min,cpu_ms_max,peak_working_set_bytes,peak_commit_bytes,delta_cycles,activations,max_jump_cycles,trace_bytes
dense_zero,clock,7,41.8915,39.44865,43.78305,37.3586,48.7146,50.91660000016418,48.1744000001072,52.69415000020672,45.35889999988285,56.80389999997715,46.875,39.0625,46.875,31.25,62.5,7536640.0,2940928.0,120023.0,,,0
dense_zero,event,7,43.6655,42.397000000000006,45.69445,41.1563,47.7096,52.32239999986632,50.09545000007165,53.920450000077835,48.63999999997759,56.19739999974627,46.875,39.0625,46.875,31.25,93.75,7471104.0,2912256.0,120027.0,30006.0,1.0,0
long_compute,clock,7,161.8785,155.41649999999998,165.6071,146.4367,175.4257,169.07820000005813,162.81850000018494,173.9125999999942,153.78999999984444,183.27799999997296,156.25,156.25,164.0625,140.625,171.875,6569984.0,2170880.0,1500027.0,,,0
long_compute,event,7,27.9921,27.907249999999998,28.648,27.2537,34.8891,36.2209999998413,35.65095000021756,36.65354999975534,35.13989999964906,42.898300000160816,31.25,31.25,39.0625,15.625,62.5,6541312.0,2142208.0,100027.0,25006.0,72.0,0
mixed,clock,7,104.5426,102.667,106.58324999999999,101.8557,120.1907,114.03859999973065,111.37414999984685,115.56209999980638,110.95720000002984,128.83899999997084,109.375,109.375,117.1875,93.75,125.0,6471680.0,2088960.0,952459.0,,,0
mixed,event,7,36.7335,36.08345,40.192800000000005,34.9353,41.9622,44.429199999740376,44.0005000000383,48.665699999901335,43.7048999997387,50.093199999992066,46.875,39.0625,46.875,31.25,46.875,6471680.0,2162688.0,154803.0,38700.0,53.0,0
slow_sink,clock,7,761.5561,738.91545,823.1096,734.5292,857.0569,770.3879000000597,747.181400000045,831.0534500001268,742.1210000002247,864.8249999996551,750.0,734.375,804.6875,718.75,843.75,5967872.0,1310720.0,7999999.0,,,0
slow_sink,event,7,10.7141,10.16765,10.79715,9.5075,10.9315,18.54540000022098,18.284949999952005,18.632350000189035,17.99799999980678,19.28490000000238,15.625,15.625,15.625,15.625,31.25,5931008.0,1294336.0,47923.0,11980.0,1000.0,0
sparse_wait,clock,7,616.571,613.6978,623.99315,611.0081,670.774,624.8814000000493,621.5076500002397,631.1341499999799,618.9312000001337,678.3798999999817,625.0,609.375,625.0,609.375,671.875,5853184.0,1187840.0,7999999.0,,,0
sparse_wait,event,7,1.8751,1.8577,1.8999000000000001,1.8441,2.0248,9.506599999895116,9.245200000123077,9.596200000032695,8.579800000006799,10.332600000310777,0.0,0.0,0.0,0.0,15.625,5812224.0,1179648.0,35.0,8.0,1999988.0,0
narrow_window,clock,7,40.4499,38.673199999999994,41.30475,37.2341,44.871,48.856700000214914,47.69999999984975,49.722599999768136,44.62550000016563,53.60789999986082,46.875,39.0625,46.875,31.25,46.875,6381568.0,2027520.0,274015.0,,,0
narrow_window,event,7,29.3546,27.616,32.51045,26.5658,35.0753,37.35339999957432,35.52550000017618,41.52515000009771,34.35559999979887,43.602499999906286,31.25,31.25,31.25,31.25,31.25,6545408.0,2121728.0,130019.0,32504.0,73.0,0
dense_trace,clock,7,10.4356,10.25195,11.254999999999999,10.148,12.1412,18.76429999992979,18.154049999793642,19.878750000088985,17.359399999804737,20.981200000278477,15.625,15.625,15.625,0.0,46.875,5976064.0,1314816.0,8023.0,,,754999
dense_trace,event,7,16.1927,16.0433,16.9422,15.8807,18.8132,24.996999999984837,24.20499999993808,26.08325000005607,23.707400000148482,27.078200000232755,15.625,15.625,15.625,15.625,15.625,8712192.0,4698112.0,8027.0,2006.0,1.0,754999
mixed_trace,clock,7,25.5185,25.36065,25.926499999999997,25.0559,27.3855,33.88580000000729,33.33950000001096,34.26549999994677,32.684100000096805,34.79160000006232,31.25,31.25,31.25,31.25,31.25,5922816.0,1253376.0,95307.0,,,2104164
mixed_trace,event,7,32.3171,31.215200000000003,32.58155,30.5371,33.7818,39.95910000003278,39.090149999765345,40.48179999995227,37.96379999994315,41.94939999979397,31.25,31.25,31.25,31.25,46.875,12439552.0,8310784.0,15531.0,3882.0,48.0,2104164
