metric,value
cycles,47
tasks,8
simulated_time_ns,47
throughput_tasks_per_cycle,0.170212765957
compute_busy_cycles,66
compute_utilization,0.702127659574
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0.68085106383
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0851063829787
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.106382978723
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.170212765957
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.10638297872
transform_registers_peak,2
handshake_valid_cycles,28
handshake_blocked_cycles,20
handshake_blocked_fraction,0.714285714286
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,2624
window_blocked_cycles,0
engines_blocked_cycles,20
random_choices,2
random_seed,1
reorder_wait_cycles,19
collector_output_blocked_cycles,0
compute0_busy_cycles,35
compute0_utilization,0.744680851064
compute0_tasks,4
compute0_result_wait_cycles,0
compute1_busy_cycles,31
compute1_utilization,0.659574468085
compute1_tasks,4
compute1_result_wait_cycles,0
window_capacity,16
window_results_peak,2
window_results_average,0.659574468085
window_reserved_peak,4
window_reserved_average,2.25531914894
window_valid_bits,16
