metric,value
cycles,577
tasks,17
simulated_time_ns,577
throughput_tasks_per_cycle,0.0294627383016
compute_busy_cycles,1032
compute_utilization,0.894280762565
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.3431542461
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0138648180243
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0155979202773
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0294627383016
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.61871750433
transform_registers_peak,2
handshake_valid_cycles,497
handshake_blocked_cycles,480
handshake_blocked_fraction,0.965794768612
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1280
window_blocked_cycles,480
engines_blocked_cycles,0
random_choices,1
random_seed,1
reorder_wait_cycles,0
collector_output_blocked_cycles,0
compute0_busy_cycles,486
compute0_utilization,0.842287694974
compute0_tasks,8
compute0_result_wait_cycles,0
compute1_busy_cycles,546
compute1_utilization,0.946273830156
compute1_tasks,9
compute1_result_wait_cycles,0
window_capacity,2
window_results_peak,1
window_results_average,0.0294627383016
window_reserved_peak,2
window_reserved_average,1.84748700173
window_valid_bits,2
