metric,value
cycles,305
tasks,43
simulated_time_ns,305
throughput_tasks_per_cycle,0.140983606557
compute_busy_cycles,258
compute_utilization,0.422950819672
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.79344262295
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0688524590164
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.072131147541
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.140983606557
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.94754098361
transform_registers_peak,2
handshake_valid_cycles,298
handshake_blocked_cycles,255
handshake_blocked_fraction,0.855704697987
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1280
window_blocked_cycles,255
engines_blocked_cycles,0
random_choices,21
random_seed,1
reorder_wait_cycles,208
collector_output_blocked_cycles,0
compute0_busy_cycles,94
compute0_utilization,0.308196721311
compute0_tasks,21
compute0_result_wait_cycles,0
compute1_busy_cycles,164
compute1_utilization,0.537704918033
compute1_tasks,22
compute1_result_wait_cycles,0
window_capacity,2
window_results_peak,2
window_results_average,0.832786885246
window_reserved_peak,2
window_reserved_average,1.81967213115
window_valid_bits,2
