metric,value
cycles,663
tasks,48
simulated_time_ns,663
throughput_tasks_per_cycle,0.0723981900452
compute_busy_cycles,632
compute_utilization,0.476621417798
compute_result_wait_cycles,0
output_period,3
parser_to_transform_capacity,2
parser_to_transform_average,1.66515837104
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0422322775264
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0301659125189
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.331825037707
collector_to_output_peak,2
transform_registers_capacity,2
transform_registers_average,1.94268476621
transform_registers_peak,2
handshake_valid_cycles,644
handshake_blocked_cycles,596
handshake_blocked_fraction,0.925465838509
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1472
window_blocked_cycles,594
engines_blocked_cycles,2
random_choices,15
random_seed,1
reorder_wait_cycles,541
collector_output_blocked_cycles,62
compute0_busy_cycles,174
compute0_utilization,0.262443438914
compute0_tasks,28
compute0_result_wait_cycles,0
compute1_busy_cycles,458
compute1_utilization,0.690799396682
compute1_tasks,20
compute1_result_wait_cycles,0
window_capacity,4
window_results_peak,4
window_results_average,2.81297134238
window_reserved_peak,4
window_reserved_average,3.83861236802
window_valid_bits,4
