metric,value
cycles,1540
tasks,64
simulated_time_ns,1540
throughput_tasks_per_cycle,0.0415584415584
compute_busy_cycles,2995
compute_utilization,0.972402597403
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.82727272727
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0214285714286
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0233766233766
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0415584415584
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.93116883117
transform_registers_peak,2
handshake_valid_cycles,1487
handshake_blocked_cycles,1423
handshake_blocked_fraction,0.956960322798
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,4160
window_blocked_cycles,0
engines_blocked_cycles,1423
random_choices,5
random_seed,1
reorder_wait_cycles,26
collector_output_blocked_cycles,0
compute0_busy_cycles,1495
compute0_utilization,0.970779220779
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1500
compute1_utilization,0.974025974026
compute1_tasks,32
compute1_result_wait_cycles,0
window_capacity,32
window_results_peak,2
window_results_average,0.0649350649351
window_reserved_peak,4
window_reserved_average,2.05454545455
window_valid_bits,32
