metric,value
cycles,470
tasks,24
simulated_time_ns,470
throughput_tasks_per_cycle,0.0510638297872
compute_busy_cycles,900
compute_utilization,0.957446808511
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.60425531915
parser_to_transform_peak,2
compute0_results_capacity,1
compute0_results_average,0.0255319148936
compute0_results_peak,1
compute1_results_capacity,1
compute1_results_average,0.0255319148936
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0510638297872
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.81063829787
transform_registers_peak,2
handshake_valid_cycles,461
handshake_blocked_cycles,437
handshake_blocked_fraction,0.947939262473
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,6
buffer_payload_bits,1664
window_blocked_cycles,0
engines_blocked_cycles,437
random_choices,1
random_seed,1
reorder_wait_cycles,438
collector_output_blocked_cycles,0
compute0_busy_cycles,450
compute0_utilization,0.957446808511
compute0_tasks,12
compute0_result_wait_cycles,0
compute1_busy_cycles,450
compute1_utilization,0.957446808511
compute1_tasks,12
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,2
window_results_average,1.0085106383
window_reserved_peak,4
window_reserved_average,2.97446808511
window_valid_bits,8
