metric,value
cycles,46
tasks,40
simulated_time_ns,46
throughput_tasks_per_cycle,0.869565217391
compute_busy_cycles,0
compute_utilization,0
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,0.869565217391
parser_to_transform_peak,1
compute0_results_capacity,2
compute0_results_average,0.391304347826
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.478260869565
compute1_results_peak,1
collector_to_output_capacity,4
collector_to_output_average,0.869565217391
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.73913043478
transform_registers_peak,2
handshake_valid_cycles,40
handshake_blocked_cycles,0
handshake_blocked_fraction,0
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,12
buffer_payload_bits,2304
window_blocked_cycles,0
engines_blocked_cycles,0
random_choices,40
random_seed,1
reorder_wait_cycles,0
collector_output_blocked_cycles,0
compute0_busy_cycles,0
compute0_utilization,0
compute0_tasks,18
compute0_result_wait_cycles,0
compute1_busy_cycles,0
compute1_utilization,0
compute1_tasks,22
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,1
window_results_average,0.869565217391
window_reserved_peak,2
window_reserved_average,1.73913043478
window_valid_bits,8
