model,case,depth,result_depth,window,period,cycles,busy,result_wait,window_blocked,payload_bits
stage1,zero_stream,1,,0,1,84,0,0,,
stage1,zero_stream,2,,0,1,45,0,0,,
stage1,zero_stream,4,,0,1,45,0,0,,
stage2,zero_stream,1,,0,1,83,0,0,,480
stage2,zero_stream,2,,0,1,44,0,0,,704
stage2,zero_stream,4,,0,1,44,0,0,,1152
stage3_window,zero_burst,4,1,8,1,48,0,38,0,2112
stage3_window,zero_burst,4,2,8,1,46,0,0,0,2304
stage3_window,zero_burst,4,4,8,1,46,0,0,0,2688
stage3_window,basic,2,2,2,1,64,66,0,37,1280
stage3_window,basic,2,2,4,1,48,66,0,2,1472
stage3_window,basic,2,2,8,1,47,66,0,0,1856
stage3_window,basic,2,2,16,1,47,66,0,0,2624
stage3_window,basic,2,2,32,1,47,66,0,0,4160
stage3_window,basic,2,1,8,1,47,66,0,0,1664
stage3_window,basic,2,4,8,1,47,66,0,0,2240
stage3_window,fib,2,2,2,1,577,1032,0,480,1280
stage3_window,fib,2,2,4,1,561,1032,0,0,1472
stage3_window,fib,2,2,8,1,561,1032,0,0,1856
stage3_window,fib,2,2,16,1,561,1032,0,0,2624
stage3_window,fib,2,2,32,1,561,1032,0,0,4160
stage3_window,fib,2,1,8,1,561,1032,0,0,1664
stage3_window,fib,2,4,8,1,561,1032,0,0,2240
stage3_window,random,2,2,2,1,1627,2995,0,1511,1280
stage3_window,random,2,2,4,1,1540,2995,0,8,1472
stage3_window,random,2,2,8,1,1540,2995,0,0,1856
stage3_window,random,2,2,16,1,1540,2995,0,0,2624
stage3_window,random,2,2,32,1,1540,2995,0,0,4160
stage3_window,random,2,1,8,1,1540,2995,0,0,1664
stage3_window,random,2,4,8,1,1540,2995,0,0,2240
stage3_window,mixed,2,2,2,1,305,258,0,255,1280
stage3_window,mixed,2,2,4,1,265,258,0,209,1472
stage3_window,mixed,2,2,8,1,257,258,0,185,1856
stage3_window,mixed,2,2,16,1,193,258,0,0,2624
stage3_window,mixed,2,2,32,1,193,258,0,0,4160
stage3_window,mixed,2,1,8,1,257,258,0,185,1664
stage3_window,mixed,2,4,8,1,257,258,0,185,2240
stage3_window,skew,2,2,2,1,929,900,0,825,1280
stage3_window,skew,2,2,4,1,470,900,0,10,1472
stage3_window,skew,2,2,8,1,470,900,0,0,1856
stage3_window,skew,2,2,16,1,470,900,0,0,2624
stage3_window,skew,2,2,32,1,470,900,0,0,4160
stage3_window,skew,2,1,8,1,470,900,0,0,1664
stage3_window,skew,2,4,8,1,470,900,0,0,2240
stage3_window,head,2,2,2,1,161,114,0,113,1280
stage3_window,head,2,2,4,1,121,114,0,71,1472
stage3_window,head,2,2,8,1,121,114,0,63,1856
stage3_window,head,2,2,16,1,121,114,0,47,2624
stage3_window,head,2,2,32,1,121,114,0,15,4160
stage3_window,head,2,1,8,1,121,114,0,63,1664
stage3_window,head,2,4,8,1,121,114,0,63,2240
stage3_window,pressure,2,2,2,3,705,632,0,644,1280
stage3_window,pressure,2,2,4,3,663,632,0,594,1472
stage3_window,pressure,2,2,8,3,375,632,0,52,1856
stage3_window,pressure,2,2,16,3,369,632,0,0,2624
stage3_window,pressure,2,2,32,3,369,632,0,0,4160
stage3_window,pressure,2,1,8,3,375,632,0,52,1664
stage3_window,pressure,2,4,8,3,375,632,0,52,2240
