# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 2981945757
#
# Children      Self  Command     Shared Object         Symbol
# ........  ........  ..........  ....................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    61.82%     0.00%  stage4_gcd  stage4_gcd            [.] qt_align
    61.82%     0.00%  stage4_gcd  stage4_gcd            [.] sc_core::sc_thread_cor_fn
    60.34%     0.84%  stage4_gcd  stage4_gcd            [.] (anonymous namespace)::System::runEvents
    32.56%     6.02%  stage4_gcd  stage4_gcd            [.] stage4::model::instrumentation::EventRecorder::flushBatch
    22.10%     1.35%  stage4_gcd  stage4_gcd            [.] stage4::model::instrumentation::EventRecorder::writeRow
    18.23%    18.23%  stage4_gcd  stage4_gcd            [.] stage4::model::instrumentation::(anonymous namespace)::appendNumber
    12.68%     0.00%  stage4_gcd  libc.so.6             [.] __libc_start_call_main
    12.68%     0.00%  stage4_gcd  stage4_gcd            [.] (anonymous namespace)::run
    12.68%     0.00%  stage4_gcd  stage4_gcd            [.] sc_elab_and_sim
    12.68%     0.00%  stage4_gcd  stage4_gcd            [.] sc_main
    11.74%     0.00%  stage4_gcd  stage4_gcd            [.] sc_core::sc_start
    11.67%     0.54%  stage4_gcd  stage4_gcd            [.] sc_core::sc_simcontext::simulate
    11.03%    11.03%  stage4_gcd  libstdc++.so.6.0.30   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     9.92%     3.90%  stage4_gcd  stage4_gcd            [.] sc_core::sc_simcontext::crunch
     8.17%     0.34%  stage4_gcd  stage4_gcd            [.] stage4::Compute::advance
     7.87%     7.87%  stage4_gcd  libc.so.6             [.] __memmove_avx_unaligned_erms
     7.50%     3.94%  stage4_gcd  stage4_gcd            [.] stage4::model::timing::currentCycle
     5.79%     0.81%  stage4_gcd  stage4_gcd            [.] stage4::model::instrumentation::EventRecorder::record
     5.01%     0.10%  stage4_gcd  stage4_gcd            [.] stage4::Compute::accept
     4.07%     4.07%  stage4_gcd  stage4_gcd            [.] sc_core::sc_time::sc_time
     2.89%     2.89%  stage4_gcd  stage4_gcd            [.] stage4::model::timing::planGcd
     2.83%     1.98%  stage4_gcd  stage4_gcd            [.] sc_core::wait
     2.62%     1.75%  stage4_gcd  stage4_gcd            [.] sc_core::sc_event::trigger
     2.15%     0.30%  stage4_gcd  stage4_gcd            [.] stage4::Transform::advance
     1.72%     1.72%  stage4_gcd  stage4_gcd            [.] std::__adjust_heap<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, long, unsigned long, __gnu_cxx::__ops::_Iter_comp_iter<stage4::model::instrumentation::EventRecorder::flushBatch()::{lambda(unsigned long, unsigned long)#1}> >
     1.65%     0.71%  stage4_gcd  stage4_gcd            [.] stage4::Dispatcher::route
     1.61%     0.17%  stage4_gcd  stage4_gcd            [.] stage4::Dispatcher::advance
     1.41%     1.41%  stage4_gcd  stage4_gcd            [.] std::vector<stage4::model::instrumentation::EventRecorder::TraceRow, std::allocator<stage4::model::instrumentation::EventRecorder::TraceRow> >::emplace_back<stage4::model::instrumentation::EventRecorder::TraceRow>
