# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 306  of event 'cpu-clock:u'
# Event count (approx.): 306920754
#
# Children      Self  Command     Shared Object        Symbol
# ........  ........  ..........  ...................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    28.76%     0.00%  stage4_gcd  stage4_gcd           [.] qt_align
    28.76%     0.00%  stage4_gcd  stage4_gcd           [.] sc_core::sc_thread_cor_fn
    28.43%     0.65%  stage4_gcd  stage4_gcd           [.] (anonymous namespace)::System::runEvents
    21.90%     0.00%  stage4_gcd  [unknown]            [.] 0x0000000000000006
    21.24%     0.00%  stage4_gcd  libc.so.6            [.] __libc_start_call_main
    21.24%     0.00%  stage4_gcd  stage4_gcd           [.] (anonymous namespace)::run
    21.24%     0.00%  stage4_gcd  stage4_gcd           [.] sc_elab_and_sim
    21.24%     0.00%  stage4_gcd  stage4_gcd           [.] sc_main
    19.93%     0.00%  stage4_gcd  libstdc++.so.6.0.30  [.] virtual thunk to std::__cxx11::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >::~basic_ostringstream()
    19.93%     0.00%  stage4_gcd  [unknown]            [.] 0x48e8580348fb8948
    16.34%     0.33%  stage4_gcd  stage4_gcd           [.] stage4::model::instrumentation::EventRecorder::flushTrace
    15.69%     0.00%  stage4_gcd  stage4_gcd           [.] std::__stable_sort_adaptive<__gnu_cxx::__normal_iterator<stage4::model::instrumentation::EventRecorder::TraceRow*, std::vector<stage4::model::instrumentation::EventRecorder::TraceRow, std::allocator<stage4::model::instrumentation::EventRecorder::TraceRow> > >, stage4::model::instrumentation::EventRecorder::TraceRow*, long, __gnu_cxx::__ops::_Iter_comp_iter<stage4::model::instrumentation::EventRecorder::flushTrace()::{lambda(stage4::model::instrumentation::EventRecorder::TraceRow const&, stage4::model::instrumentation::EventRecorder::TraceRow const&)#1}> >
    15.03%     5.23%  stage4_gcd  libstdc++.so.6.0.30  [.] std::ostream::_M_insert<unsigned long>
    14.71%     6.54%  stage4_gcd  stage4_gcd           [.] std::__merge_sort_with_buffer<__gnu_cxx::__normal_iterator<stage4::model::instrumentation::EventRecorder::TraceRow*, std::vector<stage4::model::instrumentation::EventRecorder::TraceRow, std::allocator<stage4::model::instrumentation::EventRecorder::TraceRow> > >, stage4::model::instrumentation::EventRecorder::TraceRow*, __gnu_cxx::__ops::_Iter_comp_iter<stage4::model::instrumentation::EventRecorder::flushTrace()::{lambda(stage4::model::instrumentation::EventRecorder::TraceRow const&, stage4::model::instrumentation::EventRecorder::TraceRow const&)#1}> >
    13.40%     0.33%  stage4_gcd  stage4_gcd           [.] stage4::model::instrumentation::EventRecorder::repeat
     7.84%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::model::instrumentation::EventRecorder::record
     7.52%     7.52%  stage4_gcd  libstdc++.so.6.0.30  [.] std::__ostream_insert<char, std::char_traits<char> >
     7.19%     7.19%  stage4_gcd  stage4_gcd           [.] std::__move_merge<__gnu_cxx::__normal_iterator<stage4::model::instrumentation::EventRecorder::TraceRow*, std::vector<stage4::model::instrumentation::EventRecorder::TraceRow, std::allocator<stage4::model::instrumentation::EventRecorder::TraceRow> > >, stage4::model::instrumentation::EventRecorder::TraceRow*, __gnu_cxx::__ops::_Iter_comp_iter<stage4::model::instrumentation::EventRecorder::flushTrace()::{lambda(stage4::model::instrumentation::EventRecorder::TraceRow const&, stage4::model::instrumentation::EventRecorder::TraceRow const&)#1}> >
     6.86%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Dispatcher::accountSkipped
     6.54%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Transform::accountSkipped
     4.90%     4.90%  stage4_gcd  libc.so.6            [.] __memmove_avx_unaligned_erms
     4.25%     4.25%  stage4_gcd  libstdc++.so.6.0.30  [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn
     4.25%     1.63%  stage4_gcd  stage4_gcd           [.] stage4::model::instrumentation::EventRecorder::append
     3.59%     3.27%  stage4_gcd  libstdc++.so.6.0.30  [.] std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>
     3.59%     2.29%  stage4_gcd  stage4_gcd           [.] stage4::model::timing::currentCycle
     3.27%     3.27%  stage4_gcd  libstdc++.so.6.0.30  [.] std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow
     2.94%     2.94%  stage4_gcd  libstdc++.so.6.0.30  [.] 0x000000000012e931
     2.94%     1.31%  stage4_gcd  stage4_gcd           [.] sc_core::sc_simcontext::crunch
     2.94%     0.00%  stage4_gcd  libstdc++.so.6.0.30  [.] 0x000079acc472e931
     2.94%     0.00%  stage4_gcd  stage4_gcd           [.] sc_core::sc_simcontext::simulate
     2.94%     0.00%  stage4_gcd  stage4_gcd           [.] sc_core::sc_start
     2.94%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Compute::advance
     2.29%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Transform::advance
     2.29%     0.00%  stage4_gcd  [unknown]            [.] 0000000000000000
     1.96%     1.96%  stage4_gcd  libc.so.6            [.] malloc_consolidate
     1.96%     1.96%  stage4_gcd  libstdc++.so.6.0.30  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     1.96%     1.96%  stage4_gcd  libstdc++.so.6.0.30  [.] std::ostream::sentry::sentry
     1.96%     1.63%  stage4_gcd  libstdc++.so.6.0.30  [.] std::use_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >
     1.96%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Compute::accept
     1.96%     0.00%  stage4_gcd  stage4_gcd           [.] stage4::Output::advance
     1.96%     0.00%  stage4_gcd  [unknown]            [.] 0x000079acc482ab80
     1.96%     0.00%  stage4_gcd  [unknown]            [.] 0x3baf3131d4b39900
     1.63%     1.63%  stage4_gcd  libc.so.6            [.] _int_free
