metric,value
cycles,1
tasks,0
simulated_time_ns,1
throughput_tasks_per_cycle,0
compute_busy_cycles,0
compute_utilization,0
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0
parser_to_transform_peak,0
transform_to_compute_capacity,2
transform_to_compute_average,0
transform_to_compute_peak,0
compute_to_output_capacity,2
compute_to_output_average,0
compute_to_output_peak,0
transform_registers_capacity,2
transform_registers_average,0
transform_registers_peak,0
