metric,value
cycles,901
tasks,49
simulated_time_ns,901
throughput_tasks_per_cycle,0.054384017758
compute_busy_cycles,834
compute_utilization,0.9256381798
compute_result_wait_cycles,13
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.870144284129
parser_to_transform_peak,1
transform_to_compute_capacity,1
transform_to_compute_average,0.940066592675
transform_to_compute_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.054384017758
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.8756936737
transform_registers_peak,2
