metric,value
cycles,1054
tasks,17
simulated_time_ns,1054
throughput_tasks_per_cycle,0.0161290322581
compute_busy_cycles,1032
compute_utilization,0.979127134725
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,1.75142314991
parser_to_transform_peak,4
transform_to_compute_capacity,4
transform_to_compute_average,3.26660341556
transform_to_compute_peak,4
compute_to_output_capacity,4
compute_to_output_average,0.0161290322581
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.25237191651
transform_registers_peak,2
