metric,value
cycles,306
tasks,43
simulated_time_ns,306
throughput_tasks_per_cycle,0.140522875817
compute_busy_cycles,258
compute_utilization,0.843137254902
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.83660130719
parser_to_transform_peak,1
transform_to_compute_capacity,1
transform_to_compute_average,0.843137254902
transform_to_compute_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.140522875817
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.87581699346
transform_registers_peak,2
