metric,value
cycles,3012
tasks,64
simulated_time_ns,3012
throughput_tasks_per_cycle,0.0212483399734
compute_busy_cycles,2943
compute_utilization,0.977091633466
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,3.44721115538
parser_to_transform_peak,4
transform_to_compute_capacity,4
transform_to_compute_average,3.81540504648
transform_to_compute_peak,4
compute_to_output_capacity,4
compute_to_output_average,0.0212483399734
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.82802124834
transform_registers_peak,2
