metric,value
cycles,306
tasks,43
simulated_time_ns,306
throughput_tasks_per_cycle,0.140522875817
compute_busy_cycles,258
compute_utilization,0.843137254902
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,3.56862745098
parser_to_transform_peak,4
transform_to_compute_capacity,4
transform_to_compute_average,3.72549019608
transform_to_compute_peak,4
compute_to_output_capacity,4
compute_to_output_average,0.140522875817
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.91830065359
transform_registers_peak,2
