metric,value
cycles,12
tasks,1
simulated_time_ns,12
throughput_tasks_per_cycle,0.0833333333333
compute_busy_cycles,6
compute_utilization,0.5
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0.0833333333333
parser_to_transform_peak,1
transform_to_compute_capacity,2
transform_to_compute_average,0.0833333333333
transform_to_compute_peak,1
compute_to_output_capacity,2
compute_to_output_average,0.0833333333333
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,0.166666666667
transform_registers_peak,1
