metric,value
cycles,312
tasks,24
simulated_time_ns,312
throughput_tasks_per_cycle,0.0769230769231
compute_busy_cycles,24
compute_utilization,0.0769230769231
compute_result_wait_cycles,248
output_period,13
parser_to_transform_capacity,1
parser_to_transform_average,0.724358974359
parser_to_transform_peak,1
transform_to_compute_capacity,1
transform_to_compute_average,0.836538461538
transform_to_compute_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.907051282051
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.6891025641
transform_registers_peak,2
