case,cycles,tasks,simulated_time_ns,throughput_tasks_per_cycle,compute_busy_cycles,compute_utilization,compute_result_wait_cycles,output_period,parser_to_transform_capacity,parser_to_transform_average,parser_to_transform_peak,transform_to_compute_capacity,transform_to_compute_average,transform_to_compute_peak,compute_to_output_capacity,compute_to_output_average,compute_to_output_peak,transform_registers_capacity,transform_registers_average,transform_registers_peak
single,12.0,1.0,12.0,0.0833333333333,6.0,0.5,0.0,1.0,2.0,0.0833333333333,1.0,2.0,0.0833333333333,1.0,2.0,0.0833333333333,1.0,2.0,0.166666666667,1.0
basic,79.0,8.0,79.0,0.101265822785,66.0,0.835443037975,0.0,1.0,2.0,0.518987341772,2.0,2.0,1.39240506329,2.0,2.0,0.101265822785,1.0,2.0,1.01265822785,2.0
empty,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
boundaries,58.0,9.0,58.0,0.155172413793,40.0,0.689655172414,0.0,1.0,1.0,0.155172413793,1.0,1.0,0.758620689655,1.0,1.0,0.155172413793,1.0,2.0,1.46551724138,2.0
pipeline,25.0,20.0,25.0,0.8,0.0,0.0,0.0,1.0,64.0,0.8,1.0,64.0,0.8,1.0,64.0,0.8,1.0,2.0,1.6,2.0
slow_sink,312.0,24.0,312.0,0.0769230769231,24.0,0.0769230769231,248.0,13.0,1.0,0.724358974359,1.0,1.0,0.836538461538,1.0,1.0,0.907051282051,1.0,2.0,1.6891025641,2.0
random,11913.0,250.0,11913.0,0.0209854780492,11658.0,0.97859481239,0.0,1.0,1.0,0.96256190716,1.0,1.0,0.974901368253,1.0,1.0,0.0209854780492,1.0,2.0,1.97926634769,2.0
random_buffered,11913.0,250.0,11913.0,0.0209854780492,11658.0,0.97859481239,0.0,3.0,4.0,3.84067825065,4.0,4.0,3.93687568203,4.0,4.0,0.0412154788886,1.0,2.0,1.95475530933,2.0
extreme_grid,901.0,49.0,901.0,0.054384017758,834.0,0.9256381798,13.0,1.0,1.0,0.870144284129,1.0,1.0,0.940066592675,1.0,1.0,0.054384017758,1.0,2.0,1.8756936737,2.0
fibonacci_consecutive,1054.0,17.0,1054.0,0.0161290322581,1032.0,0.979127134725,0.0,1.0,4.0,1.75142314991,4.0,4.0,3.26660341556,4.0,4.0,0.0161290322581,1.0,2.0,1.25237191651,2.0
short_baseline,85.0,40.0,85.0,0.470588235294,40.0,0.470588235294,0.0,1.0,1.0,0.470588235294,1.0,1.0,0.470588235294,1.0,1.0,0.470588235294,1.0,2.0,0.941176470588,1.0
short_with_long,306.0,43.0,306.0,0.140522875817,258.0,0.843137254902,0.0,1.0,4.0,3.56862745098,4.0,4.0,3.72549019608,4.0,4.0,0.140522875817,1.0,2.0,1.91830065359,2.0
mixed_depth1,306.0,43.0,306.0,0.140522875817,258.0,0.843137254902,0.0,1.0,1.0,0.83660130719,1.0,1.0,0.843137254902,1.0,1.0,0.140522875817,1.0,2.0,1.87581699346,2.0
short_depth1,85.0,40.0,85.0,0.470588235294,40.0,0.470588235294,0.0,1.0,1.0,0.470588235294,1.0,1.0,0.470588235294,1.0,1.0,0.470588235294,1.0,2.0,0.941176470588,1.0
random_01,3064.0,64.0,3064.0,0.0208877284595,2995.0,0.977480417755,0.0,1.0,1.0,0.916775456919,1.0,1.0,0.963120104439,1.0,1.0,0.0208877284595,1.0,2.0,1.92069190601,2.0
random_02,3059.0,64.0,3059.0,0.0209218698921,2990.0,0.977443609023,0.0,1.0,4.0,3.45178162798,4.0,4.0,3.82151029748,4.0,4.0,0.0209218698921,1.0,2.0,1.83131742399,2.0
random_03,3011.0,64.0,3011.0,0.0212553968781,2942.0,0.977084025241,0.0,1.0,1.0,0.914646296911,1.0,1.0,0.961806708735,1.0,1.0,0.0212553968781,1.0,2.0,1.91597475922,2.0
random_04,3077.0,64.0,3077.0,0.020799480013,3008.0,0.977575560611,0.0,1.0,4.0,3.4364640884,4.0,4.0,3.81540461488,4.0,4.0,0.020799480013,1.0,2.0,1.83067923302,2.0
random_05,3058.0,64.0,3058.0,0.0209287115762,2989.0,0.977436232832,0.0,1.0,1.0,0.919228253761,1.0,1.0,0.964028776978,1.0,1.0,0.0209287115762,1.0,2.0,1.9234793983,2.0
random_06,3012.0,64.0,3012.0,0.0212483399734,2943.0,0.977091633466,0.0,1.0,4.0,3.44721115538,4.0,4.0,3.81540504648,4.0,4.0,0.0212483399734,1.0,2.0,1.82802124834,2.0
random_07,3014.0,64.0,3014.0,0.0212342402123,2945.0,0.977106834771,0.0,1.0,1.0,0.917385534174,1.0,1.0,0.964167219642,1.0,1.0,0.0212342402123,1.0,2.0,1.92302587923,2.0
random_08,2997.0,64.0,2997.0,0.0213546880214,2928.0,0.976976976977,0.0,1.0,4.0,3.46246246246,4.0,4.0,3.81581581582,4.0,4.0,0.0213546880214,1.0,2.0,1.83149816483,2.0
random_09,3011.0,64.0,3011.0,0.0212553968781,2942.0,0.977084025241,0.0,1.0,1.0,0.914314181335,1.0,1.0,0.959814015277,1.0,1.0,0.0212553968781,1.0,2.0,1.91564264364,2.0
random_10,3057.0,64.0,3057.0,0.0209355577363,2988.0,0.977428851816,0.0,1.0,4.0,3.44324501145,4.0,4.0,3.8200850507,4.0,4.0,0.0209355577363,1.0,2.0,1.83153418384,2.0
