metric,value
cycles,79
tasks,8
simulated_time_ns,79
throughput_tasks_per_cycle,0.101265822785
compute_busy_cycles,66
compute_utilization,0.835443037975
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0.518987341772
parser_to_transform_peak,2
transform_to_compute_capacity,2
transform_to_compute_average,1.39240506329
transform_to_compute_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.101265822785
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.01265822785
transform_registers_peak,2
