metric,value
cycles,520
tasks,40
simulated_time_ns,520
throughput_tasks_per_cycle,0.0769230769231
compute_busy_cycles,40
compute_utilization,0.0769230769231
compute_result_wait_cycles,424
output_period,13
parser_to_transform_capacity,1
parser_to_transform_average,0.803846153846
parser_to_transform_peak,1
transform_to_compute_capacity,1
transform_to_compute_average,0.871153846154
transform_to_compute_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.913461538462
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.81346153846
transform_registers_peak,2
