metric,value
cycles,520
tasks,40
simulated_time_ns,520
throughput_tasks_per_cycle,0.0769230769231
compute_busy_cycles,40
compute_utilization,0.0769230769231
compute_result_wait_cycles,425
output_period,13
parser_to_transform_capacity,1
parser_to_transform_average,0.826923076923
parser_to_transform_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.915384615385
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.86346153846
transform_registers_peak,2
handshake_valid_cycles,491
handshake_blocked_cycles,451
handshake_blocked_fraction,0.918533604888
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,2
buffer_payload_bits,480
