case,cycles,tasks,simulated_time_ns,throughput_tasks_per_cycle,compute_busy_cycles,compute_utilization,compute_result_wait_cycles,output_period,parser_to_transform_capacity,parser_to_transform_average,parser_to_transform_peak,compute_to_output_capacity,compute_to_output_average,compute_to_output_peak,transform_registers_capacity,transform_registers_average,transform_registers_peak,handshake_valid_cycles,handshake_blocked_cycles,handshake_blocked_fraction,compute_units,compute_task_slots,transform_slots,fifo_slots,buffer_payload_bits
single,11.0,1.0,11.0,0.0909090909091,6.0,0.545454545455,0.0,1.0,2.0,0.0909090909091,1.0,2.0,0.0909090909091,1.0,2.0,0.181818181818,1.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,704.0
empty,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,704.0
basic,78.0,8.0,78.0,0.102564102564,66.0,0.846153846154,0.0,1.0,2.0,0.923076923077,2.0,2.0,0.102564102564,1.0,2.0,1.51282051282,2.0,61.0,53.0,0.868852459016,1.0,1.0,2.0,4.0,704.0
zero_pipeline,51.0,24.0,51.0,0.470588235294,0.0,0.0,0.0,1.0,1.0,0.470588235294,1.0,1.0,0.470588235294,1.0,2.0,0.941176470588,1.0,24.0,0.0,0.0,1.0,1.0,2.0,2.0,480.0
slow_sink,520.0,40.0,520.0,0.0769230769231,40.0,0.0769230769231,425.0,13.0,1.0,0.826923076923,1.0,1.0,0.915384615385,1.0,2.0,1.86346153846,2.0,491.0,451.0,0.918533604888,1.0,1.0,2.0,2.0,480.0
extreme_grid,900.0,49.0,900.0,0.0544444444444,834.0,0.926666666667,13.0,1.0,1.0,0.871111111111,1.0,1.0,0.0544444444444,1.0,2.0,1.94777777778,2.0,893.0,844.0,0.945128779395,1.0,1.0,2.0,2.0,480.0
fibonacci_consecutive,1053.0,17.0,1053.0,0.0161443494777,1032.0,0.980056980057,0.0,1.0,4.0,2.74074074074,4.0,4.0,0.0161443494777,1.0,2.0,1.78252611586,2.0,975.0,958.0,0.982564102564,1.0,1.0,2.0,8.0,1152.0
short_baseline,84.0,40.0,84.0,0.47619047619,40.0,0.47619047619,0.0,1.0,1.0,0.47619047619,1.0,1.0,0.47619047619,1.0,2.0,0.952380952381,1.0,40.0,0.0,0.0,1.0,1.0,2.0,2.0,480.0
short_with_long,305.0,43.0,305.0,0.140983606557,258.0,0.845901639344,0.0,1.0,4.0,3.69836065574,4.0,4.0,0.140983606557,1.0,2.0,1.96393442623,2.0,300.0,257.0,0.856666666667,1.0,1.0,2.0,8.0,1152.0
random_01,3063.0,64.0,3063.0,0.0208945478289,2995.0,0.977799542932,0.0,1.0,1.0,0.932745674176,1.0,1.0,0.0208945478289,1.0,2.0,1.95200783546,2.0,3013.0,2949.0,0.978758712247,1.0,1.0,2.0,2.0,480.0
random_02,3058.0,64.0,3058.0,0.0209287115762,2990.0,0.97776324395,0.0,1.0,4.0,3.69980379333,4.0,4.0,0.0209287115762,1.0,2.0,1.95487246566,2.0,3011.0,2947.0,0.978744603122,1.0,1.0,2.0,8.0,1152.0
random_03,3010.0,64.0,3010.0,0.0212624584718,2942.0,0.977408637874,0.0,1.0,1.0,0.930564784053,1.0,1.0,0.0212624584718,1.0,2.0,1.94817275748,2.0,2958.0,2894.0,0.978363759297,1.0,1.0,2.0,2.0,480.0
random_04,3076.0,64.0,3076.0,0.0208062418726,3008.0,0.97789336801,0.0,1.0,4.0,3.70026007802,4.0,4.0,0.0208062418726,1.0,2.0,1.94765929779,2.0,3019.0,2955.0,0.978800927459,1.0,1.0,2.0,8.0,1152.0
random_05,3057.0,64.0,3057.0,0.0209355577363,2989.0,0.977755969905,0.0,1.0,1.0,0.934576382074,1.0,1.0,0.0209355577363,1.0,2.0,1.95387634936,2.0,3010.0,2946.0,0.978737541528,1.0,1.0,2.0,2.0,480.0
random_06,3011.0,64.0,3011.0,0.0212553968781,2943.0,0.977416140817,0.0,1.0,4.0,3.69378943872,4.0,4.0,0.0212553968781,1.0,2.0,1.95151112587,2.0,2962.0,2898.0,0.978392977718,1.0,1.0,2.0,8.0,1152.0
random_07,3013.0,64.0,3013.0,0.0212412877531,2945.0,0.977431131762,0.0,1.0,1.0,0.933289080651,1.0,1.0,0.0212412877531,1.0,2.0,1.95486226352,2.0,2968.0,2904.0,0.978436657682,1.0,1.0,2.0,2.0,480.0
random_08,2996.0,64.0,2996.0,0.0213618157543,2928.0,0.977303070761,0.0,1.0,4.0,3.69893190921,4.0,4.0,0.0213618157543,1.0,2.0,1.9502670227,2.0,2946.0,2882.0,0.97827562797,1.0,1.0,2.0,8.0,1152.0
random_09,3010.0,64.0,3010.0,0.0212624584718,2942.0,0.977408637874,0.0,1.0,1.0,0.93023255814,1.0,1.0,0.0212624584718,1.0,2.0,1.94617940199,2.0,2952.0,2888.0,0.978319783198,1.0,1.0,2.0,2.0,480.0
random_10,3056.0,64.0,3056.0,0.020942408377,2988.0,0.977748691099,0.0,1.0,4.0,3.7002617801,4.0,4.0,0.020942408377,1.0,2.0,1.95320680628,2.0,3009.0,2945.0,0.978730475241,1.0,1.0,2.0,8.0,1152.0
