metric,value
cycles,57
tasks,8
simulated_time_ns,57
throughput_tasks_per_cycle,0.140350877193
compute_busy_cycles,66
compute_utilization,0.578947368421
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0.80701754386
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.105263157895
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.315789473684
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.140350877193
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.28070175439
transform_registers_peak,2
handshake_valid_cycles,39
handshake_blocked_cycles,31
handshake_blocked_fraction,0.794871794872
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1088
dispatch_idle_other_blocked_cycles,13
reorder_wait_cycles,13
collector_output_blocked_cycles,0
compute0_busy_cycles,33
compute0_utilization,0.578947368421
compute0_tasks,4
compute0_result_wait_cycles,0
compute1_busy_cycles,33
compute1_utilization,0.578947368421
compute1_tasks,4
compute1_result_wait_cycles,0
