metric,value
cycles,560
tasks,17
simulated_time_ns,560
throughput_tasks_per_cycle,0.0303571428571
compute_busy_cycles,1032
compute_utilization,0.921428571429
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.3375
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0160714285714
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0142857142857
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0303571428571
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.61428571429
transform_registers_peak,2
handshake_valid_cycles,481
handshake_blocked_cycles,464
handshake_blocked_fraction,0.964656964657
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1088
dispatch_idle_other_blocked_cycles,0
reorder_wait_cycles,0
collector_output_blocked_cycles,0
compute0_busy_cycles,546
compute0_utilization,0.975
compute0_tasks,9
compute0_result_wait_cycles,0
compute1_busy_cycles,486
compute1_utilization,0.867857142857
compute1_tasks,8
compute1_result_wait_cycles,0
