metric,value
cycles,120
tasks,41
simulated_time_ns,120
throughput_tasks_per_cycle,0.341666666667
compute_busy_cycles,114
compute_utilization,0.475
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.55833333333
parser_to_transform_peak,2
compute0_results_capacity,6
compute0_results_average,0.175
compute0_results_peak,1
compute1_results_capacity,6
compute1_results_average,0.775
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.341666666667
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.9
transform_registers_peak,2
handshake_valid_cycles,114
handshake_blocked_cycles,73
handshake_blocked_fraction,0.640350877193
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,16
buffer_payload_bits,1856
dispatch_idle_other_blocked_cycles,72
reorder_wait_cycles,72
collector_output_blocked_cycles,0
compute0_busy_cycles,94
compute0_utilization,0.783333333333
compute0_tasks,21
compute0_result_wait_cycles,0
compute1_busy_cycles,20
compute1_utilization,0.166666666667
compute1_tasks,20
compute1_result_wait_cycles,0
