metric,value
cycles,264
tasks,43
simulated_time_ns,264
throughput_tasks_per_cycle,0.162878787879
compute_busy_cycles,258
compute_utilization,0.488636363636
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.79166666667
parser_to_transform_peak,2
compute0_results_capacity,6
compute0_results_average,0.356060606061
compute0_results_peak,1
compute1_results_capacity,6
compute1_results_average,0.621212121212
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.162878787879
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.95454545455
transform_registers_peak,2
handshake_valid_cycles,258
handshake_blocked_cycles,215
handshake_blocked_fraction,0.833333333333
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,16
buffer_payload_bits,1856
dispatch_idle_other_blocked_cycles,212
reorder_wait_cycles,212
collector_output_blocked_cycles,0
compute0_busy_cycles,165
compute0_utilization,0.625
compute0_tasks,22
compute0_result_wait_cycles,0
compute1_busy_cycles,93
compute1_utilization,0.352272727273
compute1_tasks,21
compute1_result_wait_cycles,0
