metric,value
cycles,1561
tasks,64
simulated_time_ns,1561
throughput_tasks_per_cycle,0.040999359385
compute_busy_cycles,2995
compute_utilization,0.95932094811
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.83215887252
parser_to_transform_peak,2
compute0_results_capacity,6
compute0_results_average,0.0204996796925
compute0_results_peak,1
compute1_results_capacity,6
compute1_results_average,0.0531710442024
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.040999359385
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.93465727098
transform_registers_peak,2
handshake_valid_cycles,1510
handshake_blocked_cycles,1446
handshake_blocked_fraction,0.95761589404
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,16
buffer_payload_bits,1856
dispatch_idle_other_blocked_cycles,38
reorder_wait_cycles,38
collector_output_blocked_cycles,0
compute0_busy_cycles,1523
compute0_utilization,0.975656630365
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1472
compute1_utilization,0.942985265855
compute1_tasks,32
compute1_result_wait_cycles,0
