metric,value
cycles,906
tasks,24
simulated_time_ns,906
throughput_tasks_per_cycle,0.0264900662252
compute_busy_cycles,900
compute_utilization,0.496688741722
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.63796909492
parser_to_transform_peak,2
compute0_results_capacity,6
compute0_results_average,0.0132450331126
compute0_results_peak,1
compute1_results_capacity,6
compute1_results_average,0.980132450331
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0264900662252
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.82560706402
transform_registers_peak,2
handshake_valid_cycles,827
handshake_blocked_cycles,803
handshake_blocked_fraction,0.970979443773
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,16
buffer_payload_bits,1856
dispatch_idle_other_blocked_cycles,792
reorder_wait_cycles,864
collector_output_blocked_cycles,0
compute0_busy_cycles,888
compute0_utilization,0.980132450331
compute0_tasks,12
compute0_result_wait_cycles,0
compute1_busy_cycles,12
compute1_utilization,0.0132450331126
compute1_tasks,12
compute1_result_wait_cycles,0
