case,result_depth,window,seed,input_sha256,output_period,cycles,busy_cycles,utilization,result_wait,payload_bits
basic,2,0,0,6abd3dde92c0567a2007c36e016c6a0ae7c39d6f6ec1c0d17c2b6b7359a2e8a3,1,57,66,0.578947368421,0,1088
basic,6,0,0,6abd3dde92c0567a2007c36e016c6a0ae7c39d6f6ec1c0d17c2b6b7359a2e8a3,1,57,66,0.578947368421,0,1856
fibonacci,2,0,0,4375c5a0350c2db71f087922b5a3d25834def0a5324dbeff7191197b382b5e65,1,560,1032,0.921428571429,0,1088
fibonacci,6,0,0,4375c5a0350c2db71f087922b5a3d25834def0a5324dbeff7191197b382b5e65,1,560,1032,0.921428571429,0,1856
mixed,2,0,0,f8293179918af13e9e7239eff7e25fa9111585b8b52d451359989446962285dc,1,264,258,0.488636363636,0,1088
mixed,6,0,0,f8293179918af13e9e7239eff7e25fa9111585b8b52d451359989446962285dc,1,264,258,0.488636363636,0,1856
pressure,2,0,0,2d92f6863ae1292eb7ec8b1821afe4276f4a7134c1b78cb50cbc124a37196605,3,648,632,0.487654320988,7,1088
pressure,6,0,0,2d92f6863ae1292eb7ec8b1821afe4276f4a7134c1b78cb50cbc124a37196605,3,648,632,0.487654320988,0,1856
skew,2,0,0,299437b739afefe3a64254f0136255b4d811a803995a9e9a084c03aa54e464ff,1,906,900,0.496688741722,0,1088
skew,6,0,0,299437b739afefe3a64254f0136255b4d811a803995a9e9a084c03aa54e464ff,1,906,900,0.496688741722,0,1856
head_long,2,0,0,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,120,114,0.475,0,1088
head_long,6,0,0,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,120,114,0.475,0,1856
random_01,2,0,0,40b26bb0f04b7a79e54988dba7ca0dc240a4f345fdbd66fd3e9461aadecb9bb6,1,1561,2995,0.95932094811,0,1088
random_01,6,0,0,40b26bb0f04b7a79e54988dba7ca0dc240a4f345fdbd66fd3e9461aadecb9bb6,1,1561,2995,0.95932094811,0,1856
random_02,2,0,0,a0fd98daabe59dad4ffb62bc38fd8f23d63429e150cbd9cf6ba82cd81efbf15a,1,1567,2990,0.954052329292,0,1088
random_02,6,0,0,a0fd98daabe59dad4ffb62bc38fd8f23d63429e150cbd9cf6ba82cd81efbf15a,1,1567,2990,0.954052329292,0,1856
random_03,2,0,0,4f7e0f0917e310989ad13196c5db764c2f689c34ebca70cb7bf20280494020c8,1,1524,2942,0.965223097113,0,1088
random_03,6,0,0,4f7e0f0917e310989ad13196c5db764c2f689c34ebca70cb7bf20280494020c8,1,1524,2942,0.965223097113,0,1856
random_04,2,0,0,8961b21d91426b3d91ef12648af42f1f6220702fe2e6698aeea161031de9832a,1,1557,3008,0.965960179833,0,1088
random_04,6,0,0,8961b21d91426b3d91ef12648af42f1f6220702fe2e6698aeea161031de9832a,1,1557,3008,0.965960179833,0,1856
random_05,2,0,0,636d95e94363630db8ce27359e38b21fd445fc95e6e1750f46630452de3baeb0,1,1570,2989,0.951910828025,0,1088
random_05,6,0,0,636d95e94363630db8ce27359e38b21fd445fc95e6e1750f46630452de3baeb0,1,1570,2989,0.951910828025,0,1856
random_06,2,0,0,e964397d9a9287c98b09e5a18bfe723f0ff861d5c204197de6433d21b13bb921,1,1534,2943,0.95925684485,0,1088
random_06,6,0,0,e964397d9a9287c98b09e5a18bfe723f0ff861d5c204197de6433d21b13bb921,1,1534,2943,0.95925684485,0,1856
random_07,2,0,0,1582ce3383aaa013b1c2f8c81691e454d704f802ad4f75e48671ddd02e25416e,1,1549,2945,0.950613298903,0,1088
random_07,6,0,0,1582ce3383aaa013b1c2f8c81691e454d704f802ad4f75e48671ddd02e25416e,1,1549,2945,0.950613298903,0,1856
random_08,2,0,0,4fc2091f116763b93aed5b60a4bb20143d453957a7da604cc4fd9ac947d71b32,1,1517,2928,0.965062623599,0,1088
random_08,6,0,0,4fc2091f116763b93aed5b60a4bb20143d453957a7da604cc4fd9ac947d71b32,1,1517,2928,0.965062623599,0,1856
random_09,2,0,0,b6c96e748ba8fd853f6ca5499587a43c53374fa0d61305a1649d734e0b91e9a1,1,1528,2942,0.962696335079,0,1088
random_09,6,0,0,b6c96e748ba8fd853f6ca5499587a43c53374fa0d61305a1649d734e0b91e9a1,1,1528,2942,0.962696335079,0,1856
random_10,2,0,0,97d1aefe6aeb501c0cd75d4962bd0e83f8312afdc00e3033b622bfb4415a16cf,1,1550,2988,0.963870967742,0,1088
random_10,6,0,0,97d1aefe6aeb501c0cd75d4962bd0e83f8312afdc00e3033b622bfb4415a16cf,1,1550,2988,0.963870967742,0,1856
