case,old_cycles,old_payload_matched_cycles,new_cycles_min,new_cycles_max,new_cycles_mean,speedup,old_payload_bits,new_payload_bits
basic,57,57,47,47,47,1.2127659574468086,1088,1856
fibonacci,560,560,561,561,561,0.9982174688057041,1088,1856
mixed,264,264,257,257,257,1.027237354085603,1088,1856
pressure,648,648,375,375,375,1.728,1088,1856
skew,906,906,470,470,470,1.9276595744680851,1088,1856
head_long,120,120,121,121,121,0.9917355371900827,1088,1856
random_01,1561,1561,1540,1540,1540,1.0136363636363637,1088,1856
random_02,1567,1567,1555,1555,1555,1.0077170418006431,1088,1856
random_03,1524,1524,1511,1511,1511,1.0086035737921906,1088,1856
random_04,1557,1557,1552,1552,1552,1.003221649484536,1088,1856
random_05,1570,1570,1537,1537,1537,1.0214703968770331,1088,1856
random_06,1534,1534,1527,1527,1527,1.0045841519318925,1088,1856
random_07,1549,1549,1532,1532,1532,1.0110966057441253,1088,1856
random_08,1517,1517,1509,1509,1509,1.0053015241882042,1088,1856
random_09,1528,1528,1515,1515,1515,1.0085808580858087,1088,1856
random_10,1550,1550,1533,1533,1533,1.0110893672537509,1088,1856
