id,event,cycle,a,b,value,latency
0,parser_send,1,0,0,0,0
1,parser_send,2,0,0,0,0
0,transform_accept,2,0,0,0,0
2,parser_send,3,0,0,0,0
1,transform_accept,3,0,0,0,0
3,parser_send,4,0,0,0,0
0,link,4,1836311903,1134903170,1,0
0,transform_emit,4,1836311903,1134903170,0,0
2,transform_accept,4,0,0,0,0
0,random_choice,4,1,1,0,0
0,compute_unit,4,1,0,0,0
0,compute_accept,4,1836311903,1134903170,1,74
4,parser_send,5,0,0,0,0
1,link,5,1,1,1,0
1,transform_emit,5,1,1,0,0
3,transform_accept,5,0,0,0,0
1,compute_unit,5,0,0,0,0
1,compute_accept,5,1,1,1,1
5,parser_send,6,0,0,0,0
2,link,6,2,2,0,0
2,engines_blocked,6,0,0,0,0
1,compute_complete,6,0,0,1,0
1,compute_emit,6,0,0,1,0
2,link,7,2,2,1,0
2,transform_emit,7,2,2,0,0
4,transform_accept,7,0,0,0,0
2,compute_unit,7,0,0,0,0
2,compute_accept,7,2,2,2,1
1,window_store,7,0,0,1,0
6,parser_send,8,0,0,0,0
3,link,8,3,3,0,0
3,engines_blocked,8,0,0,0,0
2,compute_complete,8,0,0,2,0
2,compute_emit,8,0,0,2,0
0,reorder_wait,8,0,0,0,0
3,link,9,3,3,1,0
3,transform_emit,9,3,3,0,0
5,transform_accept,9,0,0,0,0
3,compute_unit,9,0,0,0,0
3,compute_accept,9,3,3,3,1
0,reorder_wait,9,0,0,0,0
2,window_store,9,0,0,2,0
7,parser_send,10,0,0,0,0
4,link,10,4,4,0,0
4,engines_blocked,10,0,0,0,0
3,compute_complete,10,0,0,3,0
3,compute_emit,10,0,0,3,0
0,reorder_wait,10,0,0,0,0
4,link,11,4,4,1,0
4,transform_emit,11,4,4,0,0
6,transform_accept,11,0,0,0,0
4,compute_unit,11,0,0,0,0
4,compute_accept,11,4,4,4,1
0,reorder_wait,11,0,0,0,0
3,window_store,11,0,0,3,0
8,parser_send,12,0,0,0,0
5,link,12,5,5,0,0
5,engines_blocked,12,0,0,0,0
4,compute_complete,12,0,0,4,0
4,compute_emit,12,0,0,4,0
0,reorder_wait,12,0,0,0,0
5,link,13,5,5,1,0
5,transform_emit,13,5,5,0,0
7,transform_accept,13,0,0,0,0
5,compute_unit,13,0,0,0,0
5,compute_accept,13,5,5,5,1
0,reorder_wait,13,0,0,0,0
4,window_store,13,0,0,4,0
9,parser_send,14,0,0,0,0
6,link,14,6,6,0,0
6,engines_blocked,14,0,0,0,0
5,compute_complete,14,0,0,5,0
5,compute_emit,14,0,0,5,0
0,reorder_wait,14,0,0,0,0
6,link,15,6,6,1,0
6,transform_emit,15,6,6,0,0
8,transform_accept,15,0,0,0,0
6,compute_unit,15,0,0,0,0
6,compute_accept,15,6,6,6,1
0,reorder_wait,15,0,0,0,0
5,window_store,15,0,0,5,0
10,parser_send,16,0,0,0,0
7,link,16,7,7,0,0
7,engines_blocked,16,0,0,0,0
6,compute_complete,16,0,0,6,0
6,compute_emit,16,0,0,6,0
0,reorder_wait,16,0,0,0,0
7,link,17,7,7,1,0
7,transform_emit,17,7,7,0,0
9,transform_accept,17,0,0,0,0
7,compute_unit,17,0,0,0,0
7,compute_accept,17,7,7,7,1
0,reorder_wait,17,0,0,0,0
6,window_store,17,0,0,6,0
11,parser_send,18,0,0,0,0
8,link,18,8,8,0,0
8,window_blocked,18,0,0,0,0
7,compute_complete,18,0,0,7,0
7,compute_emit,18,0,0,7,0
0,reorder_wait,18,0,0,0,0
8,link,19,8,8,0,0
8,window_blocked,19,0,0,0,0
0,reorder_wait,19,0,0,0,0
7,window_store,19,0,0,7,0
8,link,20,8,8,0,0
8,window_blocked,20,0,0,0,0
0,reorder_wait,20,0,0,0,0
8,link,21,8,8,0,0
8,window_blocked,21,0,0,0,0
0,reorder_wait,21,0,0,0,0
8,link,22,8,8,0,0
8,window_blocked,22,0,0,0,0
0,reorder_wait,22,0,0,0,0
8,link,23,8,8,0,0
8,window_blocked,23,0,0,0,0
0,reorder_wait,23,0,0,0,0
8,link,24,8,8,0,0
8,window_blocked,24,0,0,0,0
0,reorder_wait,24,0,0,0,0
8,link,25,8,8,0,0
8,window_blocked,25,0,0,0,0
0,reorder_wait,25,0,0,0,0
8,link,26,8,8,0,0
8,window_blocked,26,0,0,0,0
0,reorder_wait,26,0,0,0,0
8,link,27,8,8,0,0
8,window_blocked,27,0,0,0,0
0,reorder_wait,27,0,0,0,0
8,link,28,8,8,0,0
8,window_blocked,28,0,0,0,0
0,reorder_wait,28,0,0,0,0
8,link,29,8,8,0,0
8,window_blocked,29,0,0,0,0
0,reorder_wait,29,0,0,0,0
8,link,30,8,8,0,0
8,window_blocked,30,0,0,0,0
0,reorder_wait,30,0,0,0,0
