metric,value
cycles,121
tasks,41
simulated_time_ns,121
throughput_tasks_per_cycle,0.338842975207
compute_busy_cycles,114
compute_utilization,0.471074380165
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.47933884298
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.190082644628
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.148760330579
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.338842975207
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.81818181818
transform_registers_peak,2
handshake_valid_cycles,110
handshake_blocked_cycles,69
handshake_blocked_fraction,0.627272727273
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1856
window_blocked_cycles,63
engines_blocked_cycles,6
random_choices,2
random_seed,7
reorder_wait_cycles,72
collector_output_blocked_cycles,0
compute0_busy_cycles,23
compute0_utilization,0.190082644628
compute0_tasks,23
compute0_result_wait_cycles,0
compute1_busy_cycles,91
compute1_utilization,0.752066115702
compute1_tasks,18
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,8
window_results_average,5.47933884298
window_reserved_peak,8
window_reserved_average,6.76033057851
window_valid_bits,8
