metric,value
cycles,257
tasks,43
simulated_time_ns,257
throughput_tasks_per_cycle,0.167315175097
compute_busy_cycles,258
compute_utilization,0.501945525292
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.50194552529
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0972762645914
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0700389105058
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.167315175097
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.91439688716
transform_registers_peak,2
handshake_valid_cycles,246
handshake_blocked_cycles,203
handshake_blocked_fraction,0.825203252033
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1856
window_blocked_cycles,185
engines_blocked_cycles,18
random_choices,4
random_seed,42
reorder_wait_cycles,206
collector_output_blocked_cycles,0
compute0_busy_cycles,95
compute0_utilization,0.369649805447
compute0_tasks,25
compute0_result_wait_cycles,0
compute1_busy_cycles,163
compute1_utilization,0.634241245136
compute1_tasks,18
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,8
window_results_average,5.91828793774
window_reserved_peak,8
window_reserved_average,7.08949416342
window_valid_bits,8
