metric,value
cycles,1527
tasks,64
simulated_time_ns,1527
throughput_tasks_per_cycle,0.0419122462344
compute_busy_cycles,2943
compute_utilization,0.963654223969
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.80877537656
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.0203012442698
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0216110019646
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0419122462344
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.90962671906
transform_registers_peak,2
handshake_valid_cycles,1476
handshake_blocked_cycles,1412
handshake_blocked_fraction,0.956639566396
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1856
window_blocked_cycles,0
engines_blocked_cycles,1412
random_choices,1
random_seed,20260906
reorder_wait_cycles,17
collector_output_blocked_cycles,0
compute0_busy_cycles,1456
compute0_utilization,0.953503601834
compute0_tasks,31
compute0_result_wait_cycles,0
compute1_busy_cycles,1487
compute1_utilization,0.973804846103
compute1_tasks,33
compute1_result_wait_cycles,0
window_capacity,8
window_results_peak,2
window_results_average,0.0543549443353
window_reserved_peak,4
window_reserved_average,2.02357563851
window_valid_bits,8
