case,result_depth,window,seed,input_sha256,output_period,cycles,busy_cycles,utilization,result_wait,payload_bits
basic,2,8,1,6abd3dde92c0567a2007c36e016c6a0ae7c39d6f6ec1c0d17c2b6b7359a2e8a3,1,47,66,0.702127659574,0,1856
basic,2,8,7,6abd3dde92c0567a2007c36e016c6a0ae7c39d6f6ec1c0d17c2b6b7359a2e8a3,1,47,66,0.702127659574,0,1856
basic,2,8,42,6abd3dde92c0567a2007c36e016c6a0ae7c39d6f6ec1c0d17c2b6b7359a2e8a3,1,47,66,0.702127659574,0,1856
basic,2,8,20260906,6abd3dde92c0567a2007c36e016c6a0ae7c39d6f6ec1c0d17c2b6b7359a2e8a3,1,47,66,0.702127659574,0,1856
fibonacci,2,8,1,4375c5a0350c2db71f087922b5a3d25834def0a5324dbeff7191197b382b5e65,1,561,1032,0.919786096257,0,1856
fibonacci,2,8,7,4375c5a0350c2db71f087922b5a3d25834def0a5324dbeff7191197b382b5e65,1,561,1032,0.919786096257,0,1856
fibonacci,2,8,42,4375c5a0350c2db71f087922b5a3d25834def0a5324dbeff7191197b382b5e65,1,561,1032,0.919786096257,0,1856
fibonacci,2,8,20260906,4375c5a0350c2db71f087922b5a3d25834def0a5324dbeff7191197b382b5e65,1,561,1032,0.919786096257,0,1856
mixed,2,8,1,f8293179918af13e9e7239eff7e25fa9111585b8b52d451359989446962285dc,1,257,258,0.501945525292,0,1856
mixed,2,8,7,f8293179918af13e9e7239eff7e25fa9111585b8b52d451359989446962285dc,1,257,258,0.501945525292,0,1856
mixed,2,8,42,f8293179918af13e9e7239eff7e25fa9111585b8b52d451359989446962285dc,1,257,258,0.501945525292,0,1856
mixed,2,8,20260906,f8293179918af13e9e7239eff7e25fa9111585b8b52d451359989446962285dc,1,257,258,0.501945525292,0,1856
pressure,2,8,1,2d92f6863ae1292eb7ec8b1821afe4276f4a7134c1b78cb50cbc124a37196605,3,375,632,0.842666666667,0,1856
pressure,2,8,7,2d92f6863ae1292eb7ec8b1821afe4276f4a7134c1b78cb50cbc124a37196605,3,375,632,0.842666666667,0,1856
pressure,2,8,42,2d92f6863ae1292eb7ec8b1821afe4276f4a7134c1b78cb50cbc124a37196605,3,375,632,0.842666666667,0,1856
pressure,2,8,20260906,2d92f6863ae1292eb7ec8b1821afe4276f4a7134c1b78cb50cbc124a37196605,3,375,632,0.842666666667,0,1856
skew,2,8,1,299437b739afefe3a64254f0136255b4d811a803995a9e9a084c03aa54e464ff,1,470,900,0.957446808511,0,1856
skew,2,8,7,299437b739afefe3a64254f0136255b4d811a803995a9e9a084c03aa54e464ff,1,470,900,0.957446808511,0,1856
skew,2,8,42,299437b739afefe3a64254f0136255b4d811a803995a9e9a084c03aa54e464ff,1,470,900,0.957446808511,0,1856
skew,2,8,20260906,299437b739afefe3a64254f0136255b4d811a803995a9e9a084c03aa54e464ff,1,470,900,0.957446808511,0,1856
head_long,2,8,1,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,121,114,0.471074380165,0,1856
head_long,2,8,7,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,121,114,0.471074380165,0,1856
head_long,2,8,42,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,121,114,0.471074380165,0,1856
head_long,2,8,20260906,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,121,114,0.471074380165,0,1856
random_01,2,8,1,40b26bb0f04b7a79e54988dba7ca0dc240a4f345fdbd66fd3e9461aadecb9bb6,1,1540,2995,0.972402597403,0,1856
random_01,2,8,7,40b26bb0f04b7a79e54988dba7ca0dc240a4f345fdbd66fd3e9461aadecb9bb6,1,1540,2995,0.972402597403,0,1856
random_01,2,8,42,40b26bb0f04b7a79e54988dba7ca0dc240a4f345fdbd66fd3e9461aadecb9bb6,1,1540,2995,0.972402597403,0,1856
random_01,2,8,20260906,40b26bb0f04b7a79e54988dba7ca0dc240a4f345fdbd66fd3e9461aadecb9bb6,1,1540,2995,0.972402597403,0,1856
random_02,2,8,1,a0fd98daabe59dad4ffb62bc38fd8f23d63429e150cbd9cf6ba82cd81efbf15a,1,1555,2990,0.961414790997,0,1856
random_02,2,8,7,a0fd98daabe59dad4ffb62bc38fd8f23d63429e150cbd9cf6ba82cd81efbf15a,1,1555,2990,0.961414790997,0,1856
random_02,2,8,42,a0fd98daabe59dad4ffb62bc38fd8f23d63429e150cbd9cf6ba82cd81efbf15a,1,1555,2990,0.961414790997,0,1856
random_02,2,8,20260906,a0fd98daabe59dad4ffb62bc38fd8f23d63429e150cbd9cf6ba82cd81efbf15a,1,1555,2990,0.961414790997,0,1856
random_03,2,8,1,4f7e0f0917e310989ad13196c5db764c2f689c34ebca70cb7bf20280494020c8,1,1511,2942,0.973527465255,0,1856
random_03,2,8,7,4f7e0f0917e310989ad13196c5db764c2f689c34ebca70cb7bf20280494020c8,1,1511,2942,0.973527465255,0,1856
random_03,2,8,42,4f7e0f0917e310989ad13196c5db764c2f689c34ebca70cb7bf20280494020c8,1,1511,2942,0.973527465255,0,1856
