PASS single: 1 tasks, 12 cycles
PASS basic: 8 tasks, 79 cycles
PASS empty: 0 tasks, 1 cycles
PASS boundaries: 9 tasks, 58 cycles
PASS pipeline: 20 tasks, 25 cycles
PASS slow_sink: 24 tasks, 312 cycles
PASS random: 250 tasks, 11913 cycles
PASS random_buffered: 250 tasks, 11913 cycles
PASS extreme_grid: 49 tasks, 901 cycles
PASS fibonacci_consecutive: 17 tasks, 1054 cycles
PASS short_baseline: 40 tasks, 85 cycles
PASS short_with_long: 43 tasks, 306 cycles
PASS mixed_depth1: 43 tasks, 306 cycles
PASS short_depth1: 40 tasks, 85 cycles
PASS random_01: 64 tasks, 3064 cycles
PASS random_02: 64 tasks, 3059 cycles
PASS random_03: 64 tasks, 3011 cycles
PASS random_04: 64 tasks, 3077 cycles
PASS random_05: 64 tasks, 3058 cycles
PASS random_06: 64 tasks, 3012 cycles
PASS random_07: 64 tasks, 3014 cycles
PASS random_08: 64 tasks, 2997 cycles
PASS random_09: 64 tasks, 3011 cycles
PASS random_10: 64 tasks, 3057 cycles
PASS 14 invalid inputs, output separation, path collisions and simulation timeout
PASS all stage1 checks: 24 valid scenarios, 1434 tasks
