metric,value
cycles,663
tasks,48
simulated_time_ns,663
throughput_tasks_per_cycle,0.0723981900452
compute_busy_cycles,632
compute_utilization,0.476621417798
compute_result_wait_cycles,74
output_period,3
parser_to_transform_capacity,2
parser_to_transform_average,1.87330316742
parser_to_transform_peak,2
compute0_results_capacity,1
compute0_results_average,0.107088989442
compute0_results_peak,1
compute1_results_capacity,1
compute1_results_average,0.948717948718
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.334841628959
collector_to_output_peak,2
transform_registers_capacity,2
transform_registers_average,1.94570135747
transform_registers_peak,2
handshake_valid_cycles,645
handshake_blocked_cycles,597
handshake_blocked_fraction,0.925581395349
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,6
buffer_payload_bits,896
dispatch_idle_other_blocked_cycles,534
reorder_wait_cycles,534
collector_output_blocked_cycles,63
compute0_busy_cycles,608
compute0_utilization,0.917043740573
compute0_tasks,24
compute0_result_wait_cycles,15
compute1_busy_cycles,24
compute1_utilization,0.0361990950226
compute1_tasks,24
compute1_result_wait_cycles,59
