metric,value
cycles,648
tasks,48
simulated_time_ns,648
throughput_tasks_per_cycle,0.0740740740741
compute_busy_cycles,632
compute_utilization,0.487654320988
compute_result_wait_cycles,0
output_period,3
parser_to_transform_capacity,2
parser_to_transform_average,1.87654320988
parser_to_transform_peak,2
compute0_results_capacity,4
compute0_results_average,0.108024691358
compute0_results_peak,2
compute1_results_capacity,4
compute1_results_average,1.05864197531
compute1_results_peak,3
collector_to_output_capacity,2
collector_to_output_average,0.317901234568
collector_to_output_peak,2
transform_registers_capacity,2
transform_registers_average,1.95061728395
transform_registers_peak,2
handshake_valid_cycles,632
handshake_blocked_cycles,584
handshake_blocked_fraction,0.924050632911
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,12
buffer_payload_bits,1472
dispatch_idle_other_blocked_cycles,576
reorder_wait_cycles,534
collector_output_blocked_cycles,55
compute0_busy_cycles,608
compute0_utilization,0.938271604938
compute0_tasks,24
compute0_result_wait_cycles,0
compute1_busy_cycles,24
compute1_utilization,0.037037037037
compute1_tasks,24
compute1_result_wait_cycles,0
