metric,value
cycles,78
tasks,8
simulated_time_ns,78
throughput_tasks_per_cycle,0.102564102564
compute_busy_cycles,66
compute_utilization,0.846153846154
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0.923076923077
parser_to_transform_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.102564102564
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.51282051282
transform_registers_peak,2
handshake_valid_cycles,61
handshake_blocked_cycles,53
handshake_blocked_fraction,0.868852459016
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,4
buffer_payload_bits,704
