metric,value
cycles,705
tasks,48
simulated_time_ns,705
throughput_tasks_per_cycle,0.068085106383
compute_busy_cycles,632
compute_utilization,0.896453900709
compute_result_wait_cycles,17
output_period,3
parser_to_transform_capacity,2
parser_to_transform_average,1.89361702128
parser_to_transform_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.276595744681
compute_to_output_peak,2
transform_registers_capacity,2
transform_registers_average,1.96879432624
transform_registers_peak,2
handshake_valid_cycles,695
handshake_blocked_cycles,647
handshake_blocked_fraction,0.930935251799
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,4
buffer_payload_bits,704
