metric,value
cycles,1053
tasks,17
simulated_time_ns,1053
throughput_tasks_per_cycle,0.0161443494777
compute_busy_cycles,1032
compute_utilization,0.980056980057
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.49667616334
parser_to_transform_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.0161443494777
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.78252611586
transform_registers_peak,2
handshake_valid_cycles,975
handshake_blocked_cycles,958
handshake_blocked_fraction,0.982564102564
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,4
buffer_payload_bits,704
