metric,value
cycles,305
tasks,43
simulated_time_ns,305
throughput_tasks_per_cycle,0.140983606557
compute_busy_cycles,258
compute_utilization,0.845901639344
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.80983606557
parser_to_transform_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.140983606557
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.96393442623
transform_registers_peak,2
handshake_valid_cycles,300
handshake_blocked_cycles,257
handshake_blocked_fraction,0.856666666667
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,4
buffer_payload_bits,704
