metric,value
cycles,3063
tasks,64
simulated_time_ns,3063
throughput_tasks_per_cycle,0.0208945478289
compute_busy_cycles,2995
compute_utilization,0.977799542932
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.86973555338
parser_to_transform_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.0208945478289
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.95298726738
transform_registers_peak,2
handshake_valid_cycles,3014
handshake_blocked_cycles,2950
handshake_blocked_fraction,0.978765759788
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,4
buffer_payload_bits,704
