metric,value
cycles,928
tasks,24
simulated_time_ns,928
throughput_tasks_per_cycle,0.0258620689655
compute_busy_cycles,900
compute_utilization,0.969827586207
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.72198275862
parser_to_transform_peak,2
compute_to_output_capacity,2
compute_to_output_average,0.0258620689655
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.90948275862
transform_registers_peak,2
handshake_valid_cycles,923
handshake_blocked_cycles,899
handshake_blocked_fraction,0.973997833153
compute_units,1
compute_task_slots,1
transform_slots,2
fifo_slots,4
buffer_payload_bits,704
