metric,value
cycles,1
tasks,0
simulated_time_ns,1
throughput_tasks_per_cycle,0
compute_busy_cycles,0
compute_utilization,0
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,0
parser_to_transform_peak,0
compute0_results_capacity,2
compute0_results_average,0
compute0_results_peak,0
compute1_results_capacity,2
compute1_results_average,0
compute1_results_peak,0
collector_to_output_capacity,2
collector_to_output_average,0
collector_to_output_peak,0
transform_registers_capacity,2
transform_registers_average,0
transform_registers_peak,0
handshake_valid_cycles,0
handshake_blocked_cycles,0
handshake_blocked_fraction,0
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1088
dispatch_idle_other_blocked_cycles,0
reorder_wait_cycles,0
collector_output_blocked_cycles,0
compute0_busy_cycles,0
compute0_utilization,0
compute0_tasks,0
compute0_result_wait_cycles,0
compute1_busy_cycles,0
compute1_utilization,0
compute1_tasks,0
compute1_result_wait_cycles,0
