metric,value
cycles,526
tasks,49
simulated_time_ns,526
throughput_tasks_per_cycle,0.0931558935361
compute_busy_cycles,834
compute_utilization,0.792775665399
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.836501901141
parser_to_transform_peak,1
compute0_results_capacity,2
compute0_results_average,0.283269961977
compute0_results_peak,2
compute1_results_capacity,2
compute1_results_average,0.17680608365
compute1_results_peak,2
collector_to_output_capacity,1
collector_to_output_average,0.0931558935361
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.82509505703
transform_registers_peak,2
handshake_valid_cycles,501
handshake_blocked_cycles,452
handshake_blocked_fraction,0.902195608782
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,6
buffer_payload_bits,864
dispatch_idle_other_blocked_cycles,118
reorder_wait_cycles,116
collector_output_blocked_cycles,27
compute0_busy_cycles,390
compute0_utilization,0.74144486692
compute0_tasks,25
compute0_result_wait_cycles,0
compute1_busy_cycles,444
compute1_utilization,0.844106463878
compute1_tasks,24
compute1_result_wait_cycles,0
