metric,value
cycles,1550
tasks,64
simulated_time_ns,1550
throughput_tasks_per_cycle,0.0412903225806
compute_busy_cycles,2988
compute_utilization,0.963870967742
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,4
parser_to_transform_average,3.64258064516
parser_to_transform_peak,4
compute0_results_capacity,2
compute0_results_average,0.0206451612903
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0438709677419
compute1_results_peak,1
collector_to_output_capacity,4
collector_to_output_average,0.0412903225806
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.93290322581
transform_registers_peak,2
handshake_valid_cycles,1500
handshake_blocked_cycles,1436
handshake_blocked_fraction,0.957333333333
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,12
buffer_payload_bits,1536
dispatch_idle_other_blocked_cycles,25
reorder_wait_cycles,26
collector_output_blocked_cycles,0
compute0_busy_cycles,1512
compute0_utilization,0.975483870968
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1476
compute1_utilization,0.952258064516
compute1_tasks,32
compute1_result_wait_cycles,0
