metric,value
cycles,85
tasks,40
simulated_time_ns,85
throughput_tasks_per_cycle,0.470588235294
compute_busy_cycles,40
compute_utilization,0.235294117647
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.470588235294
parser_to_transform_peak,1
compute0_results_capacity,2
compute0_results_average,0.235294117647
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.235294117647
compute1_results_peak,1
collector_to_output_capacity,1
collector_to_output_average,0.470588235294
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,0.941176470588
transform_registers_peak,1
handshake_valid_cycles,40
handshake_blocked_cycles,0
handshake_blocked_fraction,0
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,6
buffer_payload_bits,864
dispatch_idle_other_blocked_cycles,0
reorder_wait_cycles,0
collector_output_blocked_cycles,0
compute0_busy_cycles,20
compute0_utilization,0.235294117647
compute0_tasks,20
compute0_result_wait_cycles,0
compute1_busy_cycles,20
compute1_utilization,0.235294117647
compute1_tasks,20
compute1_result_wait_cycles,0
