case,cycles,tasks,simulated_time_ns,throughput_tasks_per_cycle,compute_busy_cycles,compute_utilization,compute_result_wait_cycles,output_period,parser_to_transform_capacity,parser_to_transform_average,parser_to_transform_peak,compute0_results_capacity,compute0_results_average,compute0_results_peak,compute1_results_capacity,compute1_results_average,compute1_results_peak,collector_to_output_capacity,collector_to_output_average,collector_to_output_peak,transform_registers_capacity,transform_registers_average,transform_registers_peak,handshake_valid_cycles,handshake_blocked_cycles,handshake_blocked_fraction,compute_units,compute_task_slots,transform_slots,fifo_slots,buffer_payload_bits,dispatch_idle_other_blocked_cycles,reorder_wait_cycles,collector_output_blocked_cycles,compute0_busy_cycles,compute0_utilization,compute0_tasks,compute0_result_wait_cycles,compute1_busy_cycles,compute1_utilization,compute1_tasks,compute1_result_wait_cycles
single,12.0,1.0,12.0,0.0833333333333,6.0,0.25,0.0,1.0,2.0,0.0833333333333,1.0,2.0,0.0833333333333,1.0,2.0,0.0,0.0,2.0,0.0833333333333,1.0,2.0,0.166666666667,1.0,1.0,0.0,0.0,2.0,2.0,2.0,8.0,1088.0,0.0,0.0,0.0,6.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
empty,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basic,57.0,8.0,57.0,0.140350877193,66.0,0.578947368421,0.0,1.0,2.0,0.80701754386,2.0,2.0,0.105263157895,1.0,2.0,0.315789473684,1.0,2.0,0.140350877193,1.0,2.0,1.28070175439,2.0,39.0,31.0,0.794871794872,2.0,2.0,2.0,8.0,1088.0,13.0,13.0,0.0,33.0,0.578947368421,4.0,0.0,33.0,0.578947368421,4.0,0.0
zero_pipeline,52.0,24.0,52.0,0.461538461538,0.0,0.0,0.0,1.0,1.0,0.461538461538,1.0,2.0,0.230769230769,1.0,2.0,0.230769230769,1.0,1.0,0.461538461538,1.0,2.0,0.923076923077,1.0,24.0,0.0,0.0,2.0,2.0,2.0,6.0,864.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0
slow_sink,520.0,40.0,520.0,0.0769230769231,40.0,0.0384615384615,859.0,13.0,1.0,0.753846153846,1.0,1.0,0.901923076923,1.0,1.0,0.926923076923,1.0,1.0,0.913461538462,1.0,2.0,1.70576923077,2.0,450.0,410.0,0.911111111111,2.0,2.0,2.0,4.0,672.0,0.0,0.0,462.0,20.0,0.0384615384615,20.0,423.0,20.0,0.0384615384615,20.0,436.0
extreme_grid,526.0,49.0,526.0,0.0931558935361,834.0,0.792775665399,0.0,1.0,1.0,0.836501901141,1.0,2.0,0.283269961977,2.0,2.0,0.17680608365,2.0,1.0,0.0931558935361,1.0,2.0,1.82509505703,2.0,501.0,452.0,0.902195608782,2.0,2.0,2.0,6.0,864.0,118.0,116.0,27.0,390.0,0.74144486692,25.0,0.0,444.0,0.844106463878,24.0,0.0
fibonacci_consecutive,560.0,17.0,560.0,0.0303571428571,1032.0,0.921428571429,0.0,1.0,4.0,2.44285714286,4.0,2.0,0.0160714285714,1.0,2.0,0.0142857142857,1.0,4.0,0.0303571428571,1.0,2.0,1.61428571429,2.0,481.0,464.0,0.964656964657,2.0,2.0,2.0,12.0,1536.0,0.0,0.0,0.0,546.0,0.975,9.0,0.0,486.0,0.867857142857,8.0,0.0
short_baseline,85.0,40.0,85.0,0.470588235294,40.0,0.235294117647,0.0,1.0,1.0,0.470588235294,1.0,2.0,0.235294117647,1.0,2.0,0.235294117647,1.0,1.0,0.470588235294,1.0,2.0,0.941176470588,1.0,40.0,0.0,0.0,2.0,2.0,2.0,6.0,864.0,0.0,0.0,0.0,20.0,0.235294117647,20.0,0.0,20.0,0.235294117647,20.0,0.0
short_with_long,264.0,43.0,264.0,0.162878787879,258.0,0.488636363636,0.0,1.0,4.0,3.60984848485,4.0,2.0,0.356060606061,1.0,2.0,0.621212121212,1.0,4.0,0.162878787879,1.0,2.0,1.95454545455,2.0,258.0,215.0,0.833333333333,2.0,2.0,2.0,12.0,1536.0,212.0,212.0,0.0,165.0,0.625,22.0,0.0,93.0,0.352272727273,21.0,0.0
random_01,1562.0,64.0,1562.0,0.0409731113956,2995.0,0.958706786172,0.0,1.0,1.0,0.89628681178,1.0,2.0,0.0204865556978,1.0,2.0,0.062099871959,1.0,1.0,0.0409731113956,1.0,2.0,1.9218950064,2.0,1508.0,1444.0,0.957559681698,2.0,2.0,2.0,6.0,864.0,38.0,38.0,15.0,1523.0,0.975032010243,32.0,0.0,1472.0,0.9423815621,32.0,0.0
random_02,1567.0,64.0,1567.0,0.040842373963,2990.0,0.954052329292,0.0,1.0,4.0,3.60306317805,4.0,2.0,0.0204211869815,1.0,2.0,0.0402042118698,1.0,4.0,0.040842373963,1.0,2.0,1.91448627951,2.0,1519.0,1455.0,0.957867017775,2.0,2.0,2.0,12.0,1536.0,25.0,25.0,0.0,1492.0,0.952137843012,32.0,0.0,1498.0,0.955966815571,32.0,0.0
