case,tasks,stage3_cycles,stage4_cycles,event_batches,max_jump_cycles
single,1,13,13,8,6
empty,0,1,1,1,1
basic,8,47,47,33,7
zero_pipeline,24,53,53,53,1
slow_sink,40,520,520,192,12
extreme_grid,49,480,480,157,29
fibonacci_consecutive,17,561,561,75,57
short_baseline,40,86,86,86,1
short_with_long,43,257,257,87,59
random_01,64,1541,1541,248,45
random_02,64,1555,1555,261,42
random_03,64,1513,1513,256,45
random_04,64,1552,1552,259,46
random_05,64,1538,1538,255,48
random_06,64,1527,1527,261,45
random_07,64,1532,1532,251,44
random_08,64,1509,1509,246,50
random_09,64,1515,1515,261,45
random_10,64,1533,1533,247,47
zero_burst,40,48,48,48,1
head_w1_s1,41,241,241,169,73
head_w1_s7,41,241,241,169,73
head_w1_s42,41,241,241,169,73
head_w2_s1,41,161,161,91,71
head_w2_s7,41,161,161,91,71
head_w2_s42,41,161,161,91,71
head_w8_s1,41,121,121,63,59
head_w8_s7,41,121,121,63,59
head_w8_s42,41,121,121,63,59
window_slow_sink,41,611,611,210,69
head_repeat,41,121,121,63,59
