id,event,cycle,a,b,value,latency
0,parser_send,1,0,0,0,0
1,parser_send,2,0,0,0,0
0,transform_accept,2,0,0,0,0
2,parser_send,3,0,0,0,0
1,transform_accept,3,0,0,0,0
3,parser_send,4,0,0,0,0
0,link,4,48,18,1,0
0,transform_emit,4,48,18,0,0
2,transform_accept,4,0,0,0,0
0,random_choice,4,1,1,0,0
0,compute_unit,4,1,0,0,0
0,compute_accept,4,48,18,6,6
4,parser_send,5,0,0,0,0
1,link,5,100,25,1,0
1,transform_emit,5,100,25,0,0
3,transform_accept,5,0,0,0,0
1,compute_unit,5,0,0,0,0
1,compute_accept,5,100,25,25,3
5,parser_send,6,0,0,0,0
2,link,6,89,55,0,0
2,engines_blocked,6,0,0,0,0
2,link,7,89,55,0,0
2,engines_blocked,7,0,0,0,0
2,link,8,89,55,0,0
2,engines_blocked,8,0,0,0,0
1,compute_complete,8,0,0,25,0
1,compute_emit,8,0,0,25,0
2,link,9,89,55,1,0
2,transform_emit,9,89,55,0,0
4,transform_accept,9,0,0,0,0
2,compute_unit,9,0,0,0,0
2,compute_accept,9,89,55,1,15
1,window_store,9,0,0,25,0
6,parser_send,10,0,0,0,0
3,link,10,144,96,0,0
3,engines_blocked,10,0,0,0,0
0,compute_complete,10,0,0,6,0
0,compute_emit,10,0,0,6,0
0,reorder_wait,10,0,0,0,0
3,link,11,144,96,1,0
3,transform_emit,11,144,96,0,0
5,transform_accept,11,0,0,0,0
3,compute_unit,11,1,0,0,0
3,compute_accept,11,144,96,48,4
0,reorder_wait,11,0,0,0,0
0,window_store,11,1,0,6,0
7,parser_send,12,0,0,0,0
4,link,12,13,8,0,0
4,engines_blocked,12,0,0,0,0
0,reorder_emit,12,0,0,6,0
4,link,13,13,8,0,0
4,engines_blocked,13,0,0,0,0
1,reorder_emit,13,0,0,25,0
0,output,13,0,0,6,0
4,link,14,13,8,0,0
4,engines_blocked,14,0,0,0,0
1,output,14,0,0,25,0
4,link,15,13,8,0,0
4,engines_blocked,15,0,0,0,0
3,compute_complete,15,0,0,48,0
3,compute_emit,15,0,0,48,0
4,link,16,13,8,1,0
4,transform_emit,16,13,8,0,0
6,transform_accept,16,0,0,0,0
4,compute_unit,16,1,0,0,0
4,compute_accept,16,13,8,1,8
3,window_store,16,1,0,48,0
5,link,17,1024,17,0,0
5,engines_blocked,17,0,0,0,0
2,reorder_wait,17,0,0,0,0
5,link,18,1024,17,0,0
5,engines_blocked,18,0,0,0,0
2,reorder_wait,18,0,0,0,0
5,link,19,1024,17,0,0
5,engines_blocked,19,0,0,0,0
2,reorder_wait,19,0,0,0,0
5,link,20,1024,17,0,0
5,engines_blocked,20,0,0,0,0
2,reorder_wait,20,0,0,0,0
5,link,21,1024,17,0,0
5,engines_blocked,21,0,0,0,0
2,reorder_wait,21,0,0,0,0
5,link,22,1024,17,0,0
5,engines_blocked,22,0,0,0,0
2,reorder_wait,22,0,0,0,0
5,link,23,1024,17,0,0
5,engines_blocked,23,0,0,0,0
2,reorder_wait,23,0,0,0,0
5,link,24,1024,17,0,0
5,engines_blocked,24,0,0,0,0
2,compute_complete,24,0,0,1,0
2,compute_emit,24,0,0,1,0
4,compute_complete,24,0,0,1,0
4,compute_emit,24,0,0,1,0
2,reorder_wait,24,0,0,0,0
5,link,25,1024,17,1,0
5,transform_emit,25,1024,17,0,0
7,transform_accept,25,0,0,0,0
5,random_choice,25,1,270369,0,0
5,compute_unit,25,1,0,0,0
5,compute_accept,25,1024,17,1,13
2,reorder_wait,25,0,0,0,0
2,window_store,25,0,0,1,0
6,link,26,21,14,1,0
6,transform_emit,26,21,14,0,0
6,compute_unit,26,0,0,0,0
6,compute_accept,26,21,14,7,4
2,reorder_emit,26,0,0,1,0
4,window_store,26,1,0,1,0
7,link,27,55,34,0,0
7,engines_blocked,27,0,0,0,0
3,reorder_emit,27,0,0,48,0
2,output,27,0,0,1,0
7,link,28,55,34,0,0
7,engines_blocked,28,0,0,0,0
4,reorder_emit,28,0,0,1,0
3,output,28,0,0,48,0
7,link,29,55,34,0,0
7,engines_blocked,29,0,0,0,0
4,output,29,0,0,1,0
7,link,30,55,34,0,0
7,engines_blocked,30,0,0,0,0
6,compute_complete,30,0,0,7,0
6,compute_emit,30,0,0,7,0
7,link,31,55,34,1,0
7,transform_emit,31,55,34,0,0
7,compute_unit,31,0,0,0,0
7,compute_accept,31,55,34,1,13
6,window_store,31,0,0,7,0
5,reorder_wait,32,0,0,0,0
5,reorder_wait,33,0,0,0,0
5,reorder_wait,34,0,0,0,0
5,reorder_wait,35,0,0,0,0
5,reorder_wait,36,0,0,0,0
5,reorder_wait,37,0,0,0,0
5,compute_complete,38,0,0,1,0
5,compute_emit,38,0,0,1,0
5,reorder_wait,38,0,0,0,0
5,reorder_wait,39,0,0,0,0
5,window_store,39,1,0,1,0
5,reorder_emit,40,0,0,1,0
6,reorder_emit,41,0,0,7,0
5,output,41,0,0,1,0
6,output,42,0,0,7,0
7,compute_complete,44,0,0,1,0
7,compute_emit,44,0,0,1,0
7,window_store,45,0,0,1,0
7,reorder_emit,46,0,0,1,0
7,output,47,0,0,1,0
